data_year,criminal_act_id,offense_id
2023,6,202061482
2023,6,213127020
2023,6,202061499
2023,6,202061555
2023,6,202061574
2023,6,203242490
2023,6,206023468
2023,6,206023495
2023,6,206023550
2023,6,206023566
2023,6,218026689
2023,6,206023612
2023,6,206023615
2023,6,206023617
2023,6,209460052
2023,6,209460066
2023,6,220269786
2023,6,209460069
2023,6,209460110
2023,6,209460117
2023,6,209460118
2023,6,218026692
2023,6,218026695
2023,6,218026696
2023,6,209460149
2023,6,218026697
2023,6,218026701
2023,6,213127090
2023,6,215272089
2023,6,215272091
2023,6,215272093
2023,6,215272109
2023,6,215272115
2023,6,216938639
2023,6,216938643
2023,6,216938652
2023,6,218026707
2023,6,218026711
2023,1,218026748
2023,6,220269791
2023,6,220269792
2023,9,201602030
2023,9,204478763
2023,9,204478765
2023,9,207995713
2023,8,207995717
2023,9,207995718
2023,9,207995722
2023,9,213589166
2023,9,213589167
2023,9,213589183
2023,9,213589186
2023,6,213589209
2023,8,213589223
2023,9,213589225
2023,6,214800460
2023,6,214800461
2023,9,214800464
2023,9,214800476
2023,9,216583087
2023,9,216583088
2023,9,216583093
2023,9,216583094
2023,9,217914394
2023,9,198110921
2023,6,198110922
2023,6,198110924
2023,6,198110925
2023,6,198110926
2023,6,198110928
2023,9,198110929
2023,6,202057803
2023,6,202057804
2023,6,202057810
2023,9,202057812
2023,9,202057814
2023,9,202057815
2023,6,202057821
2023,6,202057822
2023,6,202057826
2023,6,202057827
2023,9,202057841
2023,9,202057843
2023,9,205387458
2023,6,210042573
2023,6,210042574
2023,9,205387461
2023,6,205387462
2023,6,207160716
2023,6,207160720
2023,6,207160722
2023,3,207160724
2023,3,207160725
2023,6,207160726
2023,6,207160727
2023,9,207160730
2023,6,207160735
2023,6,207160736
2023,6,207160740
2023,6,207160742
2023,6,207160746
2023,6,207160747
2023,6,207160749
2023,6,207160752
2023,6,207160753
2023,6,210042575
2023,6,210042576
2023,6,210042577
2023,6,210042578
2023,9,210042586
2023,9,210042590
2023,9,210042592
2023,9,210645404
2023,6,210645405
2023,9,210645406
2023,6,210645409
2023,6,210645410
2023,6,210645411
2023,9,210645412
2023,6,212370490
2023,6,212370497
2023,9,212370499
2023,6,212370501
2023,6,212370503
2023,6,212370505
2023,9,212370511
2023,6,212370514
2023,9,212370522
2023,9,212370524
2023,6,212370526
2023,6,212370528
2023,9,212370530
2023,6,212370532
2023,6,212370533
2023,6,212370534
2023,6,212370538
2023,6,212370539
2023,6,217638334
2023,6,217638337
2023,6,217638338
2023,6,217638339
2023,9,217638343
2023,6,217638346
2023,9,220002200
2023,6,220002203
2023,9,220002204
2023,9,220002208
2023,8,220452158
2023,1,220452163
2023,9,199307742
2023,6,199307744
2023,6,199307745
2023,9,199307746
2023,9,199307749
2023,6,199307751
2023,9,199307754
2023,9,199307755
2023,3,199307757
2023,9,200187687
2023,9,200187692
2023,9,199307760
2023,9,221912145
2023,9,200187703
2023,6,221912146
2023,9,200187704
2023,9,200187706
2023,9,200187711
2023,8,221912149
2023,9,221912150
2023,9,221912151
2023,8,221912152
2023,9,221912154
2023,9,221912156
2023,9,221912157
2023,9,221912158
2023,6,221912160
2023,9,221912163
2023,6,221912164
2023,9,221912165
2023,9,221912166
2023,6,221912167
2023,6,221912168
2023,6,221912169
2023,6,221912170
2023,6,221912171
2023,6,221912172
2023,6,221912173
2023,6,221912174
2023,6,221912175
2023,9,221912178
2023,6,221912181
2023,6,205735306
2023,9,221912184
2023,9,221912185
2023,9,221912186
2023,9,221912189
2023,6,221912191
2023,9,221912193
2023,9,221912194
2023,6,221912197
2023,9,221912202
2023,9,205735307
2023,9,221912206
2023,9,221912210
2023,9,205735308
2023,6,221912212
2023,6,221912216
2023,6,221912217
2023,6,221912221
2023,9,221912223
2023,9,221912224
2023,9,205735312
2023,9,221912226
2023,9,205735313
2023,9,205735314
2023,9,205735316
2023,9,205735318
2023,6,205735320
2023,9,205735323
2023,9,205735325
2023,9,205735328
2023,6,205735329
2023,6,221912228
2023,6,221912229
2023,9,205735330
2023,9,205735332
2023,9,221912230
2023,9,221912232
2023,9,221912233
2023,6,221912234
2023,6,221912243
2023,6,221912244
2023,9,215824204
2023,9,221912254
2023,9,221912258
2023,9,221912259
2023,9,221912260
2023,9,221912263
2023,9,221912264
2023,6,221912265
2023,6,221912266
2023,6,221912268
2023,9,211168055
2023,9,211168056
2023,9,221912274
2023,6,211168062
2023,6,221912277
2023,9,215824205
2023,9,221912279
2023,6,211168065
2023,9,211168066
2023,9,211168067
2023,6,211168068
2023,9,221912282
2023,8,221912283
2023,9,221912286
2023,4,211168072
2023,9,221912290
2023,9,211168078
2023,9,211168080
2023,9,211168085
2023,9,211168086
2023,9,211168092
2023,9,211168093
2023,6,211168094
2023,9,211168095
2023,9,211168100
2023,8,211168101
2023,9,211168105
2023,9,211168107
2023,6,211168111
2023,6,211168112
2023,9,211168113
2023,9,211168114
2023,9,211168116
2023,6,221912291
2023,12,221912292
2023,9,221912294
2023,9,221912296
2023,9,221912297
2023,9,221912298
2023,6,221912300
2023,6,221912301
2023,9,221912303
2023,9,221912304
2023,9,221912307
2023,9,221912310
2023,9,221912311
2023,9,221912313
2023,9,221912317
2023,9,221912319
2023,2,221912321
2023,9,221912322
2023,9,221912323
2023,6,221912324
2023,6,221912330
2023,6,219628766
2023,6,221912333
2023,3,221912334
2023,9,221912335
2023,6,221912336
2023,9,221912339
2023,9,215824208
2023,7,219628768
2023,9,215824214
2023,6,215824215
2023,9,215824217
2023,9,215824218
2023,9,215824221
2023,9,215824222
2023,9,215824228
2023,6,215824230
2023,9,215824234
2023,9,215824235
2023,6,215824236
2023,9,215824245
2023,9,215824247
2023,9,215824249
2023,9,215824252
2023,9,215824256
2023,9,215824259
2023,9,221912345
2023,9,215824264
2023,9,215824266
2023,9,215824268
2023,9,221912348
2023,6,221912349
2023,9,215824273
2023,9,221912351
2023,9,221912352
2023,6,199777265
2023,6,198984262
2023,6,198984263
2023,6,198984264
2023,6,198984282
2023,6,198984295
2023,6,198984297
2023,6,198984306
2023,9,198984307
2023,6,198984311
2023,3,198984323
2023,6,198984324
2023,6,198984326
2023,6,198984329
2023,6,198984331
2023,6,198984338
2023,6,198984343
2023,6,198984345
2023,6,199777324
2023,6,199777331
2023,6,198984394
2023,6,198984398
2023,6,198984416
2023,6,198984417
2023,6,198984424
2023,6,198984437
2023,6,199777361
2023,6,199777362
2023,6,199777371
2023,6,199777435
2023,6,199777469
2023,6,199777470
2023,6,199777483
2023,6,199777489
2023,6,203445774
2023,6,203445810
2023,6,203445829
2023,6,203445830
2023,6,203445868
2023,6,203445871
2023,6,203445894
2023,6,203445900
2023,6,203445903
2023,6,215530761
2023,6,203445913
2023,6,203445931
2023,6,203445949
2023,8,203445954
2023,6,203445962
2023,6,203445981
2023,6,203445989
2023,6,203445991
2023,6,203445993
2023,6,203445995
2023,6,203446021
2023,6,203446022
2023,6,203446027
2023,6,203446033
2023,6,203446034
2023,6,203446047
2023,6,203446067
2023,6,203446074
2023,6,203446096
2023,6,203446103
2023,6,203446116
2023,6,203446125
2023,6,203446126
2023,6,203446128
2023,8,203446141
2023,6,203446155
2023,6,203446160
2023,5,203446172
2023,6,203446184
2023,6,203446186
2023,9,203446202
2023,6,203446215
2023,6,203446222
2023,6,204409483
2023,6,204409484
2023,6,204409512
2023,6,204409536
2023,3,206181858
2023,6,206181865
2023,6,206181883
2023,6,206181906
2023,6,207472156
2023,6,207472193
2023,6,207472194
2023,6,207472205
2023,6,207472289
2023,6,207472318
2023,6,207472319
2023,4,207472356
2023,6,207472382
2023,6,207472388
2023,6,207472406
2023,6,207472421
2023,6,207472497
2023,6,207472540
2023,6,207472563
2023,6,207472591
2023,6,207472613
2023,6,207472630
2023,6,207472642
2023,6,207472643
2023,6,207472650
2023,6,207472658
2023,6,207472666
2023,8,207472818
2023,6,207472850
2023,6,207472943
2023,6,208477877
2023,6,208477878
2023,6,208477911
2023,6,208477917
2023,6,208477928
2023,6,208477945
2023,6,208478061
2023,6,210786115
2023,6,210786146
2023,6,210786157
2023,6,210786159
2023,6,215530765
2023,6,210786180
2023,6,210786181
2023,6,210786182
2023,14,210786185
2023,6,210786221
2023,6,210786235
2023,6,210786257
2023,6,210786258
2023,6,210786273
2023,6,210786290
2023,6,210786292
2023,6,210786293
2023,6,210786308
2023,6,210786345
2023,3,210786350
2023,6,212515441
2023,9,212515490
2023,6,215530796
2023,6,215530837
2023,6,215530838
2023,6,215530873
2023,6,215530966
2023,6,215530976
2023,6,215530992
2023,6,221912961
2023,6,215531036
2023,6,215531056
2023,6,215531059
2023,6,215531060
2023,6,217608640
2023,2,217608643
2023,6,217608645
2023,6,217608653
2023,6,217608675
2023,9,217608687
2023,6,217608694
2023,6,222341820
2023,6,217608707
2023,6,217608708
2023,6,222341848
2023,6,222341849
2023,6,222351745
2023,6,222341915
2023,6,222341700
2023,6,222341746
2023,9,202036030
2023,9,202036037
2023,7,202988207
2023,9,202988215
2023,9,203473021
2023,8,205272358
2023,7,205272362
2023,6,206861266
2023,8,206861267
2023,9,206861271
2023,7,206861272
2023,9,206861273
2023,9,206861275
2023,7,208615181
2023,7,208615182
2023,6,208615183
2023,9,208615187
2023,9,210043395
2023,6,212261287
2023,6,212261288
2023,6,214293397
2023,6,214293401
2023,9,216277005
2023,7,216277009
2023,6,216277011
2023,9,218026948
2023,9,218026964
2023,9,218026965
2023,6,212084230
2023,9,198314026
2023,6,198423747
2023,9,198314029
2023,9,198314042
2023,9,198314046
2023,6,198314048
2023,9,198314053
2023,9,198314061
2023,9,198314063
2023,9,198314068
2023,11,198314069
2023,6,198314075
2023,9,198314078
2023,9,198314081
2023,6,198314082
2023,6,198314084
2023,1,199744138
2023,9,198314100
2023,9,198314108
2023,9,198314110
2023,9,198314113
2023,9,202007073
2023,9,198314116
2023,9,220702477
2023,9,198314118
2023,9,198314119
2023,9,198314122
2023,9,198314123
2023,9,198314139
2023,6,198314140
2023,9,198314146
2023,6,199744142
2023,6,199744144
2023,6,199744149
2023,9,216226549
2023,9,198314153
2023,9,198314154
2023,9,198314156
2023,8,199744153
2023,9,198314160
2023,6,199744156
2023,9,199744160
2023,6,199744161
2023,9,198314170
2023,9,199744173
2023,6,199744178
2023,9,199744185
2023,6,199744194
2023,6,199744195
2023,9,199744198
2023,9,202007090
2023,6,202007091
2023,3,199744222
2023,6,199744230
2023,8,199744253
2023,9,199744262
2023,8,202007096
2023,9,202007098
2023,9,199744275
2023,9,199744277
2023,9,210096398
2023,6,202007100
2023,6,202007102
2023,9,199744285
2023,9,199744286
2023,9,199744288
2023,6,202007105
2023,6,202007109
2023,6,199744300
2023,6,199744301
2023,9,203425707
2023,6,199744307
2023,6,199744314
2023,9,199744315
2023,9,202007114
2023,6,199744332
2023,9,202007118
2023,8,202007119
2023,9,199744341
2023,6,202007128
2023,9,199744362
2023,9,199744365
2023,9,202007132
2023,9,202007139
2023,9,202007140
2023,6,202007148
2023,9,202007156
2023,6,202007158
2023,9,202007166
2023,9,202007167
2023,6,202007169
2023,9,202007181
2023,9,202007184
2023,9,202007194
2023,9,202007196
2023,6,202007201
2023,9,202007204
2023,9,202007205
2023,6,202007214
2023,6,202007215
2023,6,202007216
2023,6,202007217
2023,9,202007219
2023,9,202007221
2023,6,202007223
2023,6,202007227
2023,6,202007230
2023,6,202007235
2023,9,202633175
2023,9,202007238
2023,9,202007243
2023,9,202007256
2023,6,202007258
2023,6,203425722
2023,9,202007262
2023,6,202007263
2023,8,202007265
2023,9,202007267
2023,3,222480361
2023,6,202007272
