data_year,victim_id,injury_id
2023,187681795,4
2023,187681808,4
2023,187681816,4
2023,187681835,6
2023,187681837,4
2023,187681838,4
2023,187681839,4
2023,187681849,4
2023,187681850,4
2023,187681858,4
2023,187681869,4
2023,187681874,4
2023,187681895,4
2023,191640535,4
2023,191640539,4
2023,208500161,4
2023,191640547,4
2023,191640548,4
2023,191640566,4
2023,191640567,4
2023,191640568,4
2023,191640580,4
2023,191640581,4
2023,208500164,4
2023,191640588,4
2023,191640591,4
2023,191640604,4
2023,191640608,4
2023,191640622,4
2023,191640628,4
2023,208500165,4
2023,191640633,4
2023,191640658,4
2023,191640668,4
2023,195068870,4
2023,195068871,4
2023,208500167,4
2023,191640706,4
2023,191640709,4
2023,191640710,4
2023,195068872,4
2023,195068889,4
2023,195068891,4
2023,195068892,4
2023,195068896,4
2023,195068905,4
2023,195068911,4
2023,195068929,4
2023,195068944,4
2023,195068946,4
2023,195068955,4
2023,195068956,4
2023,195068957,4
2023,195068958,4
2023,195068959,4
2023,195068963,4
2023,195068964,4
2023,195068969,4
2023,195068970,4
2023,195068977,4
2023,195175309,4
2023,195175310,4
2023,195175314,4
2023,195175319,4
2023,195175321,4
2023,195175331,4
2023,195175335,4
2023,195175336,4
2023,195175337,4
2023,195175338,4
2023,195175339,4
2023,195175340,4
2023,195175344,4
2023,196948788,4
2023,208500170,4
2023,208500171,4
2023,196948792,4
2023,196948795,4
2023,196948800,4
2023,196948802,4
2023,196948804,4
2023,196948805,4
2023,196948811,4
2023,196948813,4
2023,197036666,4
2023,197036669,4
2023,197036673,3
2023,197036674,4
2023,198717450,4
2023,198717463,4
2023,198717465,4
2023,198717472,4
2023,198717474,4
2023,198717476,4
2023,198717479,4
2023,198717480,4
2023,198717486,4
2023,198717498,4
2023,203593002,4
2023,198717508,4
2023,198717520,4
2023,200844384,4
2023,200844397,4
2023,200844400,4
2023,200844402,4
2023,208500173,4
2023,200844411,4
2023,200844421,4
2023,200844422,4
2023,202504424,4
2023,202504438,4
2023,202504445,4
2023,202504446,4
2023,203593007,4
2023,203593011,4
2023,203593022,4
2023,203593023,4
2023,203593025,4
2023,203593026,4
2023,203593027,4
2023,203593029,4
2023,203593032,4
2023,203593033,4
2023,203593047,4
2023,203593048,4
2023,203593051,4
2023,203593055,4
2023,203593059,4
2023,203593060,4
2023,203593064,4
2023,208500225,4
2023,187232740,5
2023,190103818,4
2023,190103820,4
2023,193613734,5
2023,193613739,3
2023,193613740,3
2023,193613744,4
2023,199173044,5
2023,199173045,4
2023,199173065,5
2023,199173106,5
2023,200372260,4
2023,200372272,4
2023,202146308,4
2023,202146309,4
2023,202146314,2
2023,202146315,5
2023,203480971,4
2023,183749492,5
2023,183749499,5
2023,187678247,5
2023,187678248,4
2023,187678270,5
2023,187678272,4
2023,191007792,4
2023,191007794,6
2023,192776467,6
2023,184632402,5
2023,184632119,4
2023,185418071,4
2023,184632122,4
2023,184632136,4
2023,184632141,5
2023,184632161,5
2023,184632163,5
2023,184632164,5
2023,184632168,5
2023,184632179,5
2023,184632192,5
2023,184632193,5
2023,185418113,4
2023,184632213,5
2023,184632219,5
2023,184632225,5
2023,184632234,5
2023,184632243,5
2023,184632251,4
2023,184632255,5
2023,184632256,4
2023,184632267,5
2023,184632270,5
2023,184632278,5
2023,184632279,4
2023,184632280,4
2023,185418139,5
2023,184632282,5
2023,184632287,3
2023,184632288,5
2023,184632289,5
2023,184632308,5
2023,184632311,5
