yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
49622023,4962,2023,IL0221200,IL0221200,,N,N,,I,LISLE,LISLE PD,Lisle,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,23056,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,3,33,5,3,8,1.5,1.8,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49632023,4963,2023,IL0221300,IL0221300,,N,N,,I,LOMBARD,LOMBARD PD,Lombard,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,43596,23367,ILUCR0001,Illinois State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,55,7,62,11,6,17,1.5,1.8,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49642023,4964,2023,IL0221400,IL0221400,,N,N,,I,NAPERVILLE,NAPERVILLE PD,Naperville,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,150197,23367,ILUCR0001,Illinois State Police,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,157,27,184,25,61,86,1.2,1.8,2006-12-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,"DUPAGE, WILL","Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49652023,4965,2023,IL0221500,IL0221500,,N,N,,I,OAK BROOK,OAK BROOK PD,Oak Brook,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7964,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,37,6,43,5,4,9,5.3,6.5,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,"COOK, DUPAGE","Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49662023,4966,2023,IL0221600,IL0221600,,N,N,,I,ROSELLE,ROSELLE PD,Roselle,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,22299,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,26,4,30,5,8,13,1.4,1.9,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,"COOK, DUPAGE","Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49672023,4967,2023,IL0221700,IL0221700,,N,N,,I,VILLA PARK,VILLA PARK PD,Villa Park,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,21587,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,1,35,3,9,12,1.7,2.2,2006-12-01,2021-05-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49682023,4968,2023,IL0221800,IL0221800,,N,N,,I,WAYNE,WAYNE PD,Wayne,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,2215,23367,ILUCR0001,Illinois State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,1,7,0,0,0,2.7,3.2,2006-12-01,2021-05-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,"DUPAGE, KANE","Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49692023,4969,2023,IL0221900,IL0221900,,N,N,,I,WEST CHICAGO,WEST CHICAGO PD,West Chicago,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,24972,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,44,2,46,3,4,7,1.9,2.1,2006-12-01,2022-12-01,2023-03-01,2023-03-01,2023-03-01,2023-03-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49702023,4970,2023,IL0222000,IL0222000,,N,N,,I,WESTMONT,WESTMONT PD,Westmont,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,23776,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,32,0,32,4,6,10,1.5,1.8,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49712023,4971,2023,IL0222100,IL0222100,,N,N,,I,WHEATON,WHEATON PD,Wheaton,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,52581,23367,ILUCR0001,Illinois State Police,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,55,7,62,15,7,22,1.3,1.6,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
