precision,recall,f1-score,support,model
0.952106139933365,0.8126650416412756,0.8768767123287671,78768.0,Chicago - CatBoost
0.3431852577227811,0.7053979871912168,0.4617319439453827,10930.0,Chicago - CatBoost
0.799594193850476,0.799594193850476,0.799594193850476,0.799594193850476,Chicago - CatBoost
0.647645698828073,0.7590315144162463,0.6693043281370749,89698.0,Chicago - CatBoost
0.8779071026910443,0.799594193850476,0.8262899398429772,89698.0,Chicago - CatBoost
0.8992103289182997,0.749278101594491,0.8174259469646108,467171.0,NIBRS - CatBoost
0.3256764536557283,0.5904702259798549,0.41980668262184373,95805.0,NIBRS - CatBoost
0.722252813619053,0.722252813619053,0.722252813619053,0.722252813619053,NIBRS - CatBoost
0.612443391287014,0.669874163787173,0.6186163147932273,562976.0,NIBRS - CatBoost
0.8016086320084302,0.722252813619053,0.7497606937027332,562976.0,NIBRS - CatBoost
0.9330882352941177,0.8699725776965265,0.9004257332071902,78768.0,Chicago - RandomForest
0.3700332144175175,0.5504117108874657,0.44254818302192145,10930.0,Chicago - RandomForest
0.8310330219179914,0.8310330219179914,0.8310330219179914,0.8310330219179914,Chicago - RandomForest
0.6515607248558176,0.7101921442919961,0.6714869581145558,89698.0,Chicago - RandomForest
0.8644781059915553,0.8310330219179914,0.8446318289559808,89698.0,Chicago - RandomForest
0.8999269287641756,0.3348024599129655,0.48803851638287976,467171.0,NIBRS - RandomForest
0.20148365893831277,0.8184541516622306,0.3233631216261356,95805.0,NIBRS - RandomForest
0.41710836696413345,0.41710836696413345,0.41710836696413345,0.41710836696413345,NIBRS - RandomForest
0.5507052938512442,0.576628305787598,0.4057008190045077,562976.0,NIBRS - RandomForest
0.7810686515628975,0.41710836696413345,0.46001471750926903,562976.0,NIBRS - RandomForest
0.9282758788055283,0.9712319723745684,0.9492682139954461,78768.0,Chicago - SGDClassifier
0.6889498970487302,0.45919487648673374,0.5510842712050507,10930.0,Chicago - SGDClassifier
0.9088385471247965,0.9088385471247965,0.9088385471247965,0.9088385471247965,Chicago - SGDClassifier
0.8086128879271293,0.7152134244306511,0.7501762426002484,89698.0,Chicago - SGDClassifier
0.8991132109578416,0.9088385471247965,0.9007481745887812,89698.0,Chicago - SGDClassifier
0.8687081870905443,0.3215888828715823,0.4694070118760096,467171.0,NIBRS - SGDClassifier
0.18741747493160835,0.7629977558582537,0.3009192364533033,95805.0,NIBRS - SGDClassifier
0.39670607628033877,0.39670607628033877,0.39670607628033877,0.39670607628033877,NIBRS - SGDClassifier
0.5280628310110763,0.542293319364918,0.3851631241646565,562976.0,NIBRS - SGDClassifier
0.7527688634277473,0.39670607628033877,0.4407344373357585,562976.0,NIBRS - SGDClassifier
