data_year,criminal_act_id,offense_id
2021,6,172305657
2021,6,172305660
2021,3,172305663
2021,6,172305664
2021,6,172305665
2021,6,172305667
2021,6,172305676
2021,6,172305679
2021,6,172305685
2021,6,172305732
2021,6,172305733
2021,6,172305735
2021,6,172305737
2021,8,172305739
2021,6,172305740
2021,6,172305741
2021,6,172305752
2021,6,172305760
2021,6,172305761
2021,6,172305766
2021,6,172305784
2021,6,172305787
2021,6,172305800
2021,3,172305809
2021,6,172305817
2021,6,172305827
2021,6,172305839
2021,1,172305841
2021,6,172305854
2021,6,172305855
2021,6,172305865
2021,6,172305876
2021,6,172305893
2021,1,172305899
2021,1,173051920
2021,6,173051926
2021,6,173051936
2021,6,173051937
2021,6,173051870
2021,6,173051874
2021,1,173051888
2021,3,173051892
2021,6,173078471
2021,8,179206126
2021,8,179206137
2021,9,179206138
2021,8,179206060
2021,6,179206067
2021,9,179703182
2021,9,179703185
2021,9,179703189
2021,9,179703190
2021,9,179703191
2021,9,179703205
2021,9,179703206
2021,9,179703207
2021,6,175952777
2021,6,175952791
2021,6,177550324
2021,6,177550331
2021,6,180501423
2021,6,172291408
2021,6,172291410
2021,6,172291411
2021,6,172291453
2021,6,172291412
2021,6,172291454
2021,6,172291413
2021,6,172291415
2021,6,172291417
2021,6,172291418
2021,6,172291419
2021,6,172291420
2021,6,172291423
2021,6,172291429
2021,6,172291457
2021,6,172291430
2021,6,172291460
2021,6,172291431
2021,6,172291461
2021,6,172291432
2021,6,172291463
2021,6,172291434
2021,6,172291435
2021,6,172291464
2021,6,172291436
2021,6,172291438
2021,6,172291443
2021,6,172291444
2021,6,172291446
2021,6,172291447
2021,6,172291450
2021,6,172291452
2021,9,172291465
2021,9,172291469
2021,9,172291470
2021,9,172291472
2021,9,172291475
2021,6,172291478
2021,9,172291479
2021,6,172291480
2021,6,172291481
2021,9,172291482
2021,9,175953557
2021,9,172291489
2021,6,178912944
2021,2,172291494
2021,6,172291496
2021,7,172291500
2021,6,175953558
2021,6,175953559
2021,9,172291505
2021,9,172291506
2021,9,172291507
2021,9,172291508
2021,9,172291510
2021,6,172291511
2021,9,172291517
2021,9,172291519
2021,9,172291524
2021,9,172291527
2021,9,172291531
2021,6,172291536
2021,6,172291537
2021,6,172291539
2021,8,172291540
2021,6,172291541
2021,6,178912945
2021,6,178912946
2021,7,179206278
2021,9,172291549
2021,9,172291553
2021,9,175953562
2021,9,172291557
2021,2,172291558
2021,9,172291559
2021,9,172291561
2021,9,172291562
2021,6,172291563
2021,6,172291564
2021,9,172291566
2021,6,172291574
2021,9,172291577
2021,6,172291578
2021,9,172291587
2021,9,172291593
2021,9,175953564
2021,9,180845384
2021,9,180845385
2021,9,172291601
2021,9,172291603
2021,9,175953566
2021,6,172291608
2021,9,172291609
2021,6,175953569
2021,6,175953570
2021,9,172291613
2021,6,175953571
2021,9,172291621
2021,9,172291626
2021,9,172291629
2021,9,180845386
2021,7,172291632
2021,9,172291633
2021,9,172291634
2021,8,172291636
2021,9,172291638
2021,6,175953573
2021,8,175953574
2021,2,172291644
2021,2,172291646
2021,9,172291649
2021,9,172291651
2021,6,172291652
2021,9,175953575
2021,9,172291663
2021,9,172291665
2021,9,172291667
2021,9,172291668
2021,9,172291670
2021,9,172291673
2021,9,172291679
2021,8,172291680
2021,9,172291684
2021,9,175953579
2021,9,172291687
2021,9,172291689
2021,9,172291690
2021,9,172291691
2021,9,172291693
2021,9,172291697
2021,9,172291706
2021,6,172291710
2021,6,172291711
2021,8,179206284
2021,6,172291721
2021,2,179206285
2021,9,172291725
2021,9,172291729
2021,9,172291731
2021,9,172291746
2021,9,172291748
2021,9,172291753
2021,6,172291754
2021,6,172291755
2021,7,179206287
2021,6,179206288
2021,6,179206289
2021,9,179206290
2021,7,179206291
2021,3,179206292
2021,3,172291767
2021,6,172291768
2021,7,172291769
2021,9,172291772
2021,9,172291775
2021,6,172291776
2021,6,172291777
2021,7,172291780
2021,4,172291781
2021,9,175953590
2021,6,172291783
2021,9,172291785
2021,6,175953591
2021,6,175953592
2021,6,172291795
2021,9,172291799
2021,9,172291800
2021,9,180845387
2021,9,179206294
2021,9,175953593
2021,9,175953594
2021,8,175953595
2021,8,175953596
2021,7,175953598
2021,9,175953600
2021,9,175953601
2021,9,175953604
2021,6,179206295
2021,9,175953606
2021,9,175953607
2021,8,175953609
2021,9,175953611
