data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,12,143574261,0.100,1,11997234
2021,12,143574263,113.600,1,11997235
2021,16,143574264,1.000,9,11997236
2021,12,143574265,0.700,1,11997237
2021,5,143574272,6.700,1,11997238
2021,12,143574272,19.000,1,11997239
2021,12,143574273,0.100,1,11997240
2021,8,143574277,35.000,9,11997241
2021,12,143574309,0.100,1,11997242
2021,12,143574310,1.400,1,11997243
2021,12,143574312,0.100,1,11997244
2021,12,143574314,1.000,1,11997245
2021,12,143574315,0.100,1,11997246
2021,17,143574316,0.100,1,11997247
2021,12,143574317,0.100,1,11997248
2021,4,143574324,0.100,1,11997249
2021,12,143574330,0.100,1,11997250
2021,17,143574331,3.000,9,11997251
2021,5,143574336,240.000,1,11997252
2021,2,143574346,0.100,1,11997253
2021,5,143574359,0.400,1,11997254
2021,12,143574368,5.000,1,11997255
2021,12,143574399,0.250,1,11997256
2021,8,143574416,0.100,1,11997257
2021,12,143574425,0.700,1,11997258
2021,12,144134198,0.200,1,12077098
2021,12,144134172,4.000,1,12077097
2021,8,144152156,1.000,8,12078537
2021,12,148775682,5.000,1,12709005
2021,12,148775687,3.000,1,12709006
2021,12,146325974,1.000,1,12380421
2021,12,143563709,0.100,1,11996565
2021,12,148539762,1.000,1,12685543
2021,5,143563724,7.800,1,11996567
2021,12,146326569,1.000,1,12380445
2021,12,143563730,1.000,1,11996569
2021,5,143563751,244.400,1,11996570
2021,12,148539763,1.000,9,12685544
2021,5,148775829,4.500,1,12709016
2021,12,143563767,1.000,1,11996573
2021,12,143563776,2.500,1,11996574
2021,5,143563801,15.000,1,11996575
2021,1,146326576,1.000,1,12380446
2021,5,143563814,1.200,1,11996577
2021,1,143563825,5.300,1,11996578
2021,5,143563859,26.500,1,11996581
2021,12,143563896,2.400,1,11996582
2021,5,148775836,4.400,1,12709017
2021,5,148775837,2.400,1,12709018
2021,5,148775839,12.000,1,12709019
2021,5,148775840,31.900,1,12709020
2021,5,143563906,77.300,1,11996587
2021,5,143563907,2.000,1,11996588
2021,5,143563914,1.000,1,11996589
2021,8,143563914,50.000,9,11996590
2021,5,143563917,14.400,1,11996591
2021,8,146326589,1.000,1,12380451
2021,14,143563930,2.000,9,11996593
2021,5,146326591,1.000,1,12380452
2021,4,148775843,2.000,1,12709021
2021,17,148775843,1.000,1,12709022
2021,5,148775847,10.400,1,12709023
2021,4,148775850,1.000,1,12709024
2021,2,148775857,0.700,1,12709025
2021,5,149669514,28.100,1,12841051
2021,1,149669515,2.400,1,12841052
2021,12,149669518,3.500,1,12841053
2021,5,146326620,3.800,1,12380457
2021,12,148775859,0.001,1,12709026
2021,15,148775758,1.000,9,12709007
2021,8,148775758,4.000,9,12709008
2021,12,148775764,0.200,1,12709009
2021,2,148775768,1.000,1,12709010
2021,12,148775787,1.000,9,12709011
2021,5,148775789,17.800,1,12709012
2021,12,148775796,0.300,1,12709013
2021,12,148775807,0.300,1,12709014
2021,12,148775809,0.700,1,12709015
2021,2,149669529,0.700,1,12841054
2021,5,149669536,4.600,1,12841056
2021,17,149669538,1.000,9,12841057
2021,12,149669563,1.600,1,12841058
2021,4,149669564,1.500,1,12841059
2021,5,149669657,3.500,1,12841060
2021,5,149669698,22.700,1,12841062
2021,4,143564014,0.900,1,11996600
2021,17,143564015,2.000,1,11996601
2021,1,143564067,5.000,1,11996608
2021,5,148539767,31.000,1,12685545
2021,11,148539768,1035.000,1,12685546
2021,5,148539768,89.000,1,12685547
2021,14,143564152,30.000,9,11996626
2021,17,143564153,10.000,9,11996627
2021,1,143564185,1.000,1,11996629
2021,5,143564206,13.500,1,11996631
2021,12,143564223,6.900,1,11996632
2021,2,143564237,1.500,1,11996633
2021,17,143564239,1.000,1,11996634
2021,5,143564242,22.500,1,11996635
2021,16,146326627,220.000,1,12380458
2021,12,143564299,43.600,1,11996639
2021,12,143564300,1.600,1,11996640
2021,5,143564328,49.000,1,11996642
2021,17,146326632,0.280,3,12380460
2021,12,143564370,82.000,1,11996645
2021,5,143564370,22.000,1,11996646
2021,5,146326635,25.300,1,12380461
2021,11,149122925,2.000,1,12760521
2021,5,149122926,3.000,1,12760522
2021,4,143564397,0.500,1,11996650
2021,12,143564418,2.400,1,11996651
2021,8,143564418,1.400,1,11996652
2021,2,146326638,2.800,1,12380463
2021,12,149992652,17.700,1,12886640
2021,5,143663351,6.000,1,12005744
2021,5,143663366,7.000,1,12005746
2021,5,143663411,1701.100,1,12005748
2021,17,143809077,1.130,1,12029002
2021,17,143813861,1.000,1,12029636
2021,2,146326648,18.000,1,12380465
2021,5,146326648,1.000,1,12380466
2021,1,146326662,1.000,1,12380468
2021,11,146326677,3.000,1,12380469
2021,17,146326680,1.000,9,12380470
2021,4,146326688,6.500,1,12380471
2021,16,146326688,0.700,1,12380472
2021,12,146326688,0.200,1,12380473
2021,13,146326714,3.000,1,12380474
2021,5,146326715,4.000,1,12380475
2021,5,146326716,22.000,1,12380476
2021,5,146326738,3.000,1,12380477
2021,8,146326758,1.000,1,12380479
2021,5,146326802,14.500,1,12380480
2021,13,146326818,22.000,9,12380481
2021,17,148539778,1.000,9,12685548
2021,5,146326857,66.200,1,12380483
2021,5,146326865,41.500,1,12380484
2021,17,146391648,18.000,1,12390844
2021,15,143566695,1.000,9,11996873
2021,12,143566712,1.000,1,11996874
2021,5,146391653,308.300,1,12390845
2021,5,146391659,264.500,1,12390846
2021,17,146391693,1.000,1,12390847
2021,17,146391713,1.300,9,12390848
2021,17,146391726,1.000,9,12390849
2021,5,146417904,229.000,1,12393179
2021,5,143563507,0.030,1,11996515
2021,12,143563533,0.020,1,11996516
2021,5,143563539,10.400,1,11996517
2021,5,143563552,1.000,1,11996518
2021,5,143563560,1.000,1,11996519
2021,12,143563579,1.100,1,11996520
2021,6,143563595,11.000,9,11996521
2021,8,143563601,18.000,9,11996522
2021,5,143563601,1.440,1,11996523
2021,5,143563608,4.000,1,11996524
2021,12,143563612,0.200,1,11996525
2021,5,143563614,3.000,1,11996526
2021,5,143622432,3.000,1,11999251
2021,12,146326564,0.480,1,12380444
2021,12,143563624,0.010,1,11996527
2021,12,143563627,1.200,1,11996528
2021,12,143563633,0.250,1,11996529
2021,5,143563638,3.400,1,11996530
2021,4,143579505,5.400,1,11997605
2021,12,143579508,0.200,1,11997606
2021,12,148539789,1.700,1,12685549
2021,12,149122949,0.500,1,12760526
2021,8,149122984,42.500,1,12760527
2021,1,149122993,1.000,9,12760528
2021,5,149122995,1.000,9,12760529
2021,2,149122997,0.100,1,12760530
2021,5,149123080,3138.500,1,12760532
2021,15,143561703,2.000,9,11996376
2021,16,143561703,2.000,9,11996377
2021,5,143561714,3.000,1,11996379
2021,1,149123107,0.100,1,12760534
2021,2,143561772,1.000,1,11996381
2021,17,149123202,9.500,1,12760539
2021,5,143561823,2.000,1,11996384
2021,16,143561823,6.000,9,11996385
2021,15,147509496,13.000,9,12539998
2021,17,149123204,1.000,1,12760540
2021,12,149123206,1.500,1,12760541
2021,5,149123207,4.000,1,12760542
2021,4,149123213,1.000,1,12760543
2021,17,149123214,1.000,1,12760544
2021,4,149123224,2.000,1,12760549
2021,12,149123263,1.000,1,12760551
2021,17,143561890,19.000,9,11996388
2021,5,143561896,470.000,1,11996389
2021,8,143561896,4.730,5,11996390
2021,1,143561899,6.900,1,11996391
2021,1,149123287,1.000,1,12760555
2021,4,149123287,16.000,1,12760556
2021,5,149123489,9.200,1,12760572
2021,4,143561957,6.000,1,11996392
2021,1,143561965,2.100,1,11996393
2021,5,143561980,1.500,1,11996394
2021,5,149122486,4.000,1,12760461
2021,5,143562091,283.500,1,11996397
2021,5,149123492,93.200,1,12760573
2021,5,143562112,2.600,1,11996398
2021,5,149123536,4.200,1,12760576
2021,5,143562151,8.000,1,11996400
2021,1,149123542,1.000,1,12760577
