data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,153440044,1.000,1,13407487
2022,12,153440054,1.000,1,13407488
2022,12,153440061,1.000,1,13407489
2022,16,165677621,1.000,5,15104109
2022,12,153449148,1.000,1,13408869
2022,12,153449170,26.000,1,13408870
2022,12,153451031,0.500,1,13409172
2022,5,153451037,40.000,1,13409173
2022,12,155947029,1.000,1,13773401
2022,5,155947055,12.000,1,13773402
2022,12,155947060,15.000,1,13773403
2022,12,165750561,2.000,1,15117199
2022,12,165988649,2.000,1,15149169
2022,5,162142838,698.000,1,14627721
2022,12,162135384,1.500,1,14626413
2022,12,162185110,3.800,1,14632741
2022,16,165988660,18.000,9,15149171
2022,12,154907405,1.000,1,13627036
2022,12,154952235,1.000,1,13634368
2022,2,155363006,3.500,1,13687180
2022,12,160739955,400.000,1,14434703
2022,12,160739959,1.000,1,14434704
2022,5,159624713,1.000,1,14282284
2022,12,159624714,1.000,1,14282285
2022,5,159624714,1.000,1,14282286
2022,5,159624715,1.000,1,14282287
2022,5,159624716,1.000,1,14282288
2022,5,159624718,1.000,1,14282289
2022,9,159624719,1.000,1,14282290
2022,12,159636479,5.000,1,14283174
2022,5,159636482,2.000,1,14283175
2022,5,159636487,3.000,1,14283176
2022,12,159636489,1.000,1,14283177
2022,5,159636492,1.000,1,14283178
2022,5,159636494,1.000,1,14283179
2022,15,159636495,1.000,1,14283180
2022,5,159636498,1.000,1,14283181
2022,5,159636500,1.000,1,14283182
2022,12,160970642,6.000,1,14468550
2022,12,160970646,1.000,1,14468551
2022,5,160970649,60.000,1,14468552
2022,5,160970661,1.000,1,14468553
2022,12,160974729,1.000,1,14469107
2022,5,159636501,1.000,1,14283183
2022,12,159636511,2.000,1,14283184
2022,12,159636521,0.000,1,14283185
2022,14,159636523,1.000,1,14283186
2022,12,159636534,6.000,1,14283187
2022,12,159636540,1.000,3,14283188
2022,12,159636541,1.000,1,14283189
2022,12,159636544,2.000,1,14283190
2022,5,159636545,47.000,1,14283191
2022,12,159636547,0.400,1,14283192
2022,12,159636548,1.000,11,14283193
2022,12,159636552,1.000,1,14283194
2022,5,159636554,1.000,1,14283195
2022,12,159636554,1.000,1,14283196
2022,12,159636555,1.000,1,14283197
2022,8,159636556,1.000,1,14283198
2022,12,159636557,1.000,1,14283199
2022,12,159636558,1.000,1,14283200
2022,12,160974701,3.000,1,14469099
2022,12,160974704,1.000,1,14469100
2022,12,160974710,1.000,1,14469101
2022,4,160974718,26.000,9,14469104
2022,16,160974718,7.000,9,14469105
2022,12,160974718,2.350,1,14469106
2022,5,164563286,0.100,1,14947356
2022,2,159245976,1.000,1,14229738
2022,5,159245978,0.100,1,14229739
2022,5,159245986,14.000,1,14229740
2022,5,159245990,10.000,1,14229741
2022,2,159245995,1.000,1,14229742
2022,5,159245998,1.000,1,14229743
2022,5,159246005,12.000,1,14229744
2022,5,164563287,1.000,1,14947357
2022,2,159246012,1.000,1,14229745
2022,5,159246030,1.000,1,14229746
2022,5,159246031,125.500,1,14229747
2022,2,159246042,1.000,1,14229748
2022,5,159246050,1.000,1,14229749
2022,5,159246051,3.000,1,14229750
2022,2,159246052,0.600,1,14229751
2022,16,159246077,3.000,9,14229752
2022,5,159246079,1.000,1,14229753
2022,8,159246094,7.000,9,14229754
2022,5,159246101,2.000,1,14229755
2022,5,159246113,2.000,1,14229756
2022,16,159246114,8.000,9,14229757
2022,5,159246114,10.000,1,14229758
2022,5,159246116,18.000,1,14229759
2022,5,164563302,1.000,1,14947358
2022,2,149142555,2.000,1,12762205
2022,5,159246122,2.000,1,14229760
2022,5,159246129,1.400,1,14229761
2022,5,159246134,0.800,1,14229762
2022,1,163903374,2.110,1,14856335
2022,1,149142576,4.000,1,12762206
2022,2,162566583,1.000,1,14677044
2022,1,162512131,1.000,1,14669584
2022,5,162512138,199.299,1,14669585
2022,1,158135706,10.000,1,14079810
2022,2,162512142,0.300,1,14669587
2022,5,162512160,128.000,1,14669590
2022,2,162512160,1.000,1,14669591
2022,5,162512172,2.000,1,14669592
2022,2,162512175,1.000,1,14669593
2022,5,162512175,1.000,1,14669594
2022,5,164563354,1.000,1,14947364
2022,8,151513738,27.000,1,13106841
2022,2,155118879,3.000,1,13655853
2022,14,152493760,2.000,9,13257008
2022,2,153688048,1.000,1,13441693
2022,5,164563355,18.000,1,14947365
2022,2,164563355,0.100,1,14947366
2022,5,159301276,0.010,1,14240159
2022,2,155361314,5.000,1,13686900
2022,5,159301281,0.010,1,14240160
2022,5,159301289,1.000,1,14240161
2022,5,159301291,22.900,1,14240162
2022,5,159301299,3.000,1,14240163
2022,5,159301301,35.000,9,14240164
2022,2,159301321,1.000,1,14240166
2022,4,158681598,20.000,9,14154945
2022,5,159301324,1.000,1,14240167
2022,5,159301335,4.200,1,14240168
2022,5,159301335,2.000,9,14240169
2022,5,159301360,2.200,1,14240170
2022,5,159301363,0.400,1,14240171
2022,5,159301365,1.000,1,14240172
2022,2,159301366,1.000,1,14240173
2022,5,159301408,3.800,1,14240174
2022,8,159301414,2.000,1,14240175
2022,2,159301414,1.000,1,14240176
2022,12,159301415,3.600,1,14240177
2022,15,159301415,14.000,9,14240178
2022,12,158681602,11.000,1,14154946
2022,5,159301415,29.900,1,14240179
2022,12,159301419,4.400,1,14240180
2022,5,158135775,20.000,1,14079812
2022,2,159301419,1.600,1,14240181
2022,5,159301426,84.000,1,14240182
2022,5,159301430,1.500,1,14240183
2022,5,159301450,5.000,1,14240184
2022,5,159301456,28.000,1,14240185
2022,2,159301456,1.300,1,14240186
2022,5,159301464,2.000,9,14240187
2022,5,159301472,9.500,1,14240188
2022,5,159301473,3.300,1,14240189
2022,5,159301478,128.200,1,14240190
2022,2,160936077,10.300,1,14463097
2022,5,160936077,19.000,1,14463098
2022,12,159301478,9.000,9,14240191
2022,5,159301493,6.500,1,14240192
2022,5,162512231,5.400,1,14669598
2022,5,162512253,1.000,1,14669602
2022,5,163903397,1.000,1,14856340
2022,5,162512259,14.500,1,14669603
2022,5,162512274,2.000,1,14669605
2022,5,163903404,70.300,1,14856341
2022,8,159694595,9.000,9,14290331
2022,5,162512285,1.000,1,14669606
2022,16,162512285,2.000,9,14669607
2022,8,163903414,6.200,1,14856342
2022,5,163903414,211.000,1,14856343
2022,5,163903416,2.400,1,14856344
2022,2,162512291,1.000,1,14669609
2022,5,162512291,2.000,9,14669610
2022,5,164563362,2.200,1,14947367
2022,5,163903418,1.000,1,14856345
2022,5,149144200,1.000,1,12762408
2022,5,157062612,610.000,1,13930390
2022,5,148543002,10.000,1,12685922
2022,5,151338459,54.000,1,13082861
2022,5,152461260,256.000,1,13253047
2022,12,152363024,0.900,1,13237776
