yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
46752022,4675,2022,IL0010000,IL0010000,,N,N,,I,ADAMS,ADAMS CO SO QUINCY,Adams,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,24548,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,26,1,27,2,3,5,1.1,1.3,2006-12-01,2021-01-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,ADAMS,Not Specified,Y,Y,Y
46822022,4682,2022,IL0030000,IL0030000,,N,N,,I,BOND,BOND CO SO GREENVILLE,Bond,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,8478,23367,ILUCR0001,Illinois State Police,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,12,6,18,0,5,5,1.4,2.7,2006-12-01,2022-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BOND,"St. Louis, MO-IL",Y,Y,Y
46832022,4683,2022,IL0030100,IL0030100,,N,N,,I,GREENVILLE,GREENVILLE PD,Greenville,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,6480,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,1,0,1,1.7,1.7,2006-12-01,2022-01-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BOND,"St. Louis, MO-IL",Y,Y,Y
46852022,4685,2022,IL0040000,IL0040000,,N,N,,I,BOONE,BOONE CO SO BELVIDERE,Boone,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,26128,23367,ILUCR0001,Illinois State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2006-12-01,2022-06-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BOONE,"Rockford, IL",Y,Y,Y
46862022,4686,2022,IL0040100,IL0040100,,N,N,,I,BELVIDERE,BELVIDERE CITY PD,Belvidere,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,25010,23367,ILUCR0001,Illinois State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,N,,,,,,,,,2006-12-01,2022-06-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BOONE,"Rockford, IL",Y,Y,Y
46892022,4689,2022,IL0060000,IL0060000,,N,N,,I,BUREAU,BUREAU CO SO PRINCETON,Bureau,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,13002,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,N,,,,,,,,,2006-12-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BUREAU,Not Specified,Y,Y,Y
46922022,4692,2022,IL0060400,IL0060400,,N,N,,I,PRINCETON,PRINCETON PD,Princeton,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7630,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,2,2,4,2.0,2.2,2006-12-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BUREAU,Not Specified,Y,Y,Y
46932022,4693,2022,IL0060600,IL0060600,,N,N,,I,SPRING VALLEY,SPRING VALLEY PD,Spring Valley,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,5415,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,1,1,2,2.0,2.2,2006-12-01,2021-09-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,BUREAU,Not Specified,Y,Y,Y
46972022,4697,2022,IL0070000,IL0070000,,N,N,,I,CALHOUN,CALHOUN CO SO HARDIN,Calhoun,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,3579,23367,ILUCR0001,Illinois State Police,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,,,2006-12-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CALHOUN,"St. Louis, MO-IL",Y,Y,Y
47012022,4701,2022,IL0080200,IL0080200,,N,N,,I,LANARK,LANARK PD,Lanark,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,1592,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2006-12-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,CARROLL,Not Specified,Y,Y,Y
