data_year,victim_id,circumstances_id,justifiable_force_id
2022,176995842,21,1
2022,182065482,21,1
2022,168654677,21,2
2022,168654678,21,2
2022,168654676,21,5
2022,181834961,20,5
2022,174330226,20,5
2022,185413776,20,7
