data_year,criminal_act_id,offense_id
2022,6,185427586
2022,6,185427596
2022,6,185427597
2022,6,201647907
2022,6,201647910
2022,6,185427610
2022,6,185427611
2022,6,201647914
2022,6,201647916
2022,6,185432547
2022,6,185440808
2022,6,185440809
2022,6,185440818
2022,6,185440828
2022,6,185440832
2022,6,185440834
2022,6,185440836
2022,6,185440837
2022,6,185440840
2022,6,185443495
2022,6,185443498
2022,6,185443507
2022,6,185443508
2022,6,185443517
2022,6,185443518
2022,6,188747995
2022,6,188748009
2022,6,188748046
2022,6,188748049
2022,6,188748058
2022,6,201739038
2022,6,196983945
2022,6,196983962
2022,3,196983972
2022,6,196947083
2022,6,196413565
2022,6,196413566
2022,6,196413575
2022,6,196413576
2022,6,202061464
2022,6,196413586
2022,6,196413588
2022,6,196413591
2022,6,196947113
2022,6,196947116
2022,6,196947118
2022,6,196956607
2022,6,196947135
2022,6,196947138
2022,6,197015601
2022,6,197015605
2022,6,197015614
2022,6,197015622
2022,6,202061465
2022,6,202061470
2022,6,202061471
2022,6,202061474
2022,6,202061476
2022,6,202061477
2022,6,202061480
2022,9,181316471
2022,9,181316478
2022,9,181316480
2022,9,181655592
2022,9,181655596
2022,9,181655597
2022,9,181655606
2022,9,181655608
2022,9,181655611
2022,9,181316483
2022,9,181463630
2022,9,192077529
2022,9,183897521
2022,9,187358598
2022,6,187358599
2022,9,187358602
2022,9,187358603
2022,9,187424814
2022,9,181655612
2022,9,192077532
2022,9,187424820
2022,9,187424825
2022,6,187424841
2022,3,187984349
2022,3,187984352
2022,6,187984353
2022,9,181655619
2022,9,187984355
2022,9,187984358
2022,9,195111523
2022,9,184167816
2022,9,181655628
2022,9,195111524
2022,9,181655629
2022,9,195111527
2022,9,195111530
2022,9,195111532
2022,9,195111533
2022,9,184167817
2022,9,195111535
2022,9,195111537
2022,6,195111538
2022,9,195111542
2022,9,195111543
2022,6,195111544
2022,6,195111548
2022,9,201602027
2022,6,193638184
2022,3,193638185
2022,9,193638186
2022,6,193638187
2022,6,193638188
2022,6,193638189
2022,6,193638190
2022,6,193638192
2022,6,193638193
2022,9,193653773
2022,9,193653777
2022,1,193653779
2022,9,181655642
2022,6,193653779
2022,8,193653779
2022,8,193653780
2022,6,193653783
2022,5,181655647
2022,9,181655650
2022,6,193653788
2022,9,181655651
2022,9,181655654
2022,9,181655655
2022,9,181655656
2022,9,181655657
2022,9,181655659
2022,9,181655660
2022,9,193730900
2022,9,181655661
2022,9,181655663
2022,9,181655664
2022,3,193653790
2022,7,193653790
2022,8,193653790
2022,3,193653791
2022,7,193653791
2022,8,193653791
2022,9,193653792
2022,6,193653795
2022,6,193653797
2022,8,193653798
2022,9,181655667
2022,9,193653800
2022,6,193653802
2022,6,193653804
2022,4,193653805
2022,6,195419575
2022,6,195419576
2022,8,195419578
2022,6,195419580
2022,6,195419581
2022,3,195419584
2022,3,195419585
2022,8,195419587
2022,6,195419597
2022,9,195419601
2022,9,195425161
2022,6,195425173
2022,6,195425174
2022,9,195425175
2022,9,195425180
2022,6,193653806
2022,9,193653809
2022,8,193653810
2022,6,193653811
2022,9,193653818
2022,9,193653819
2022,8,193653821
2022,8,193653822
2022,9,193653828
2022,9,193653829
2022,9,193653835
2022,6,193653837
2022,6,193653838
2022,8,193653839
2022,9,193653847
2022,6,193653851
2022,6,193653857
2022,2,193653858
2022,6,193653861
2022,6,193653862
2022,6,193653863
2022,3,193653865
2022,6,193653866
2022,6,193653867
2022,6,193653871
2022,6,193653872
2022,6,193653874
2022,8,193653875
2022,6,193653876
2022,6,193653877
2022,6,193653878
2022,6,193653879
2022,9,193653883
2022,5,193653886
2022,6,195425135
2022,6,195425138
2022,6,195425147
2022,6,195425157
2022,6,195425158
2022,1,196090627
2022,9,196090628
2022,9,196090629
2022,9,193140472
2022,9,179702207
2022,8,181655669
2022,9,181655672
2022,9,193140474
2022,6,200187660
2022,9,193140475
2022,9,193140476
2022,9,193140477
2022,9,193140479
2022,9,193140480
2022,9,193140486
2022,6,193140496
2022,9,193140498
2022,9,193140499
2022,6,193140500
2022,9,193140501
2022,9,193140504
2022,9,193140505
2022,9,193140510
2022,6,193140513
2022,9,193140515
2022,9,193140516
2022,6,193140519
2022,9,193140522
2022,9,193140523
2022,6,193140526
2022,6,193140527
2022,6,193140530
2022,9,193140532
2022,9,193140538
2022,6,193140539
2022,9,193140544
2022,6,200187661
2022,9,197551038
2022,9,197551040
2022,9,179702215
2022,8,193140547
