data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,51135754,,3
2022,47228826,,51
2022,47228827,,51
2022,47228829,,51
2022,51135755,,51
2022,47228831,,51
2022,51135756,,51
2022,51135757,,51
2022,47229952,,51
2022,47229953,,51
2022,51135758,,51
2022,51135759,,51
2022,51135760,,51
2022,47232118,,51
2022,47232119,,7
2022,47232120,,51
2022,50011064,,51
2022,47232122,,51
2022,47232123,,51
2022,47232124,,51
2022,47232125,,51
2022,47232126,,51
2022,50011065,,51
2022,47232880,,1
2022,47232881,,51
2022,51135761,,51
2022,47232883,,51
2022,47232884,,51
2022,47232885,,51
2022,48010830,,1
2022,51135762,,51
2022,48010832,,51
2022,48010833,,51
2022,51135763,,51
2022,48010835,,51
2022,48010836,,51
2022,51135764,,51
2022,48010838,,51
2022,51135765,,51
2022,48010840,,51
2022,48010841,,51
2022,51135766,,51
2022,48010843,,51
2022,48010844,,51
2022,51135767,,51
2022,48010846,,51
2022,48010847,,51
2022,51135768,,51
2022,51135769,,51
2022,51135770,,51
2022,51135771,,51
2022,51135772,,51
2022,51135773,,51
2022,51135774,,51
2022,51135775,,51
2022,51168734,,51
2022,51168735,,51
2022,51168736,,51
2022,51168737,,51
2022,51168738,,51
2022,51168739,,51
2022,51168740,,51
2022,50011067,,51
2022,50011068,,51
2022,51168741,,51
2022,50011070,,51
2022,50011071,,51
2022,50011072,,51
2022,50011073,,51
2022,49885687,,51
2022,49885688,,51
2022,50004101,,51
2022,49889235,,51
2022,49889236,,51
2022,51253191,,51
2022,49889238,,51
2022,49889239,,51
2022,49889240,,51
2022,49889241,,51
2022,50004102,,51
2022,50004103,,51
2022,50004104,,51
2022,50004105,,51
2022,50004106,,51
2022,50004107,,51
2022,50004108,,51
2022,50004109,,51
2022,50004110,,51
2022,50004111,,51
2022,50004112,,51
2022,50004113,,51
2022,50004114,,51
2022,50004115,,51
2022,50004116,,51
2022,50006329,,51
2022,50006331,,51
2022,50006333,,51
2022,50006334,,51
2022,50004117,,51
2022,50004118,,51
2022,50017447,,51
2022,50017448,,51
2022,50017449,,51
2022,51253192,,51
2022,51253193,,51
2022,51253194,,51
2022,51253195,,51
2022,51253196,,51
2022,51253197,,51
2022,51253198,,51
2022,46283511,,51
2022,47676360,,51
2022,47676361,,51
2022,47676362,,51
2022,47695042,,51
2022,47695045,,51
2022,47695047,,51
2022,47695049,,51
2022,47695051,,53
2022,47695054,,51
2022,47835325,,51
2022,47835326,,51
2022,47835327,,51
2022,47835328,,51
2022,49548056,,51
2022,49548057,,52
2022,49548058,,51
2022,49548059,,51
2022,49548060,,51
2022,49548061,,51
2022,49548062,,51
2022,49196314,,7
2022,46322431,,51
2022,46322432,,51
2022,46322433,,51
2022,46322434,,51
2022,46937708,,51
2022,46322436,,51
2022,46937709,,51
2022,46322438,,51
2022,46322439,,51
2022,46322440,,51
2022,46322442,,51
2022,46322443,,51
2022,46937710,,51
2022,46322446,,51
2022,46322447,,51
2022,50131579,,51
2022,49196315,,51
2022,50131580,,51
2022,49201022,,51
2022,49201023,,51
2022,49201024,,51
2022,49201025,,51
2022,45845713,,51
2022,45845714,,51
2022,45845715,,51
2022,50131581,,51
2022,50131582,,51
2022,50131583,,51
2022,45845719,,51
2022,49625427,,51
2022,49625428,,51
2022,49625429,,51
2022,49625430,,51
2022,49626917,,51
2022,46609304,,51
2022,45845720,,51
2022,50131585,,3
2022,45845721,,51
2022,46322451,,3
2022,47748599,,51
2022,46322452,,51
2022,46322453,,51
2022,46322455,,1
2022,48708817,,51
2022,46322456,,51
2022,46322457,,51
2022,49201026,,3
2022,49201028,,51
2022,49201029,,51
2022,49201030,,51
2022,49201031,,51
2022,49201032,,51
2022,49201033,,51
2022,49201034,,51
2022,49201035,,51
2022,49201036,,51
2022,49626907,,51
2022,49626909,,51
2022,49626913,,51
2022,49075838,,51
2022,48883509,,51
2022,46322459,,51
2022,46937712,,51
2022,48708818,,51
2022,46937713,,51
2022,46609305,,51
2022,46609307,,51
2022,46609308,,51
2022,48883510,,51
2022,47313116,,51
2022,48708819,,51
2022,46937714,,51
2022,46609314,,52
2022,46609315,,51
2022,46609318,,51
2022,48708820,,51
2022,47748608,,51
2022,47748609,,51
2022,48708821,,51
2022,48883511,,51
2022,48708823,,51
2022,46937717,,51
2022,46937718,,3
2022,48708824,,51
2022,46937719,,51
2022,46937720,,51
2022,47313119,,3
2022,48708825,,51
2022,50131586,,51
2022,49614055,,51
2022,47313123,,3
2022,47313124,,51
2022,50131587,,3
2022,47313130,,1
2022,47313132,,9
2022,47313133,,51
2022,48708826,,3
2022,49075839,,51
2022,50772156,,51
2022,47313146,,51
2022,50131588,,51
2022,50131589,,51
2022,47834671,,51
2022,47834672,,51
2022,47834673,,51
2022,47313157,,51
2022,48708827,,1
2022,47834674,,3
2022,48883512,,51
2022,48883513,,51
2022,47313176,,51
2022,47313177,,51
2022,50131590,,51
2022,47313179,,1
2022,47313195,,51
2022,47748611,,1
2022,48883514,,51
2022,49218652,,51
2022,49218653,,51
2022,47748623,,51
2022,49075840,,51
2022,49075841,,51
2022,49075842,,51
2022,49075843,,51
2022,49075844,,51
2022,49075845,,51
2022,49075846,,51
2022,49075847,,51
2022,49075848,,51
2022,49075849,,51
2022,49075850,,51
2022,49075851,,51
2022,49075852,,51
2022,49075853,,51
2022,50772157,,51
2022,47748625,,9
2022,47834677,,1
2022,47748627,,3
2022,48708828,,4
2022,50131591,,1
2022,48883515,,51
2022,50131592,,51
2022,48708830,,51
2022,49075854,,51
2022,49075855,,51
2022,49075856,,51
2022,49075857,,51
2022,49075858,,51
2022,49075859,,51
2022,49075860,,51
2022,49075861,,51
2022,49075862,,51
2022,49075863,,51
2022,49075864,,51
2022,49075865,,51
2022,49075866,,51
2022,49075867,,51
2022,49075868,,51
2022,49075869,,51
2022,49075870,,51
2022,48709702,,51
2022,48883516,,51
2022,48708831,,51
2022,48708832,,51
2022,48883517,,3
2022,48883518,,51
2022,48883519,,51
2022,48708833,,51
2022,48708834,,3
2022,48708835,,3
2022,48883520,,51
2022,48883521,,51
2022,48708836,,51
2022,48709703,,51
2022,48709704,,51
2022,49075871,,51
2022,49075872,,51
2022,49075873,,51
2022,49075874,,51
2022,49075875,,51
2022,49075876,,51
2022,49075877,,51
2022,49075878,,51
2022,49075879,,51
2022,49075880,,51
2022,50116088,,51
2022,49075881,,51
2022,49075882,,51
2022,49075883,,51
2022,49075884,,51
2022,49075885,,51
2022,49075886,,51
2022,49075887,,51
2022,49075888,,51
2022,49075889,,51
