data_year,weapon_id,offense_id,nibrs_weapon_id
2022,38,201647904,
2022,38,201647905,
2022,38,201647906,
2022,5,185427596,
2022,38,201647907,
2022,21,185427599,
2022,38,201647909,
2022,3,201647910,
2022,38,201647911,
2022,41,201647912,
2022,42,185427614,
2022,38,201647913,
2022,42,185427618,
2022,38,201647915,
2022,42,185427620,
2022,38,201647916,
2022,42,185427625,
2022,42,185432535,
2022,38,201647917,
2022,42,185432549,
2022,38,201647918,
2022,42,185432555,
2022,38,201647919,
2022,38,201647920,
2022,38,201647921,
2022,7,185440804,
2022,7,185440805,
2022,42,185440812,
2022,41,196983914,
2022,41,196983915,
2022,42,185443487,
2022,42,185443488,
2022,42,185443494,
2022,1,185443495,
2022,42,185443496,
2022,41,196983916,
2022,38,201647922,
2022,38,201647923,
2022,38,201647924,
2022,38,201647925,
2022,41,196983917,
2022,42,185443521,
2022,42,185443526,
2022,42,188747983,
2022,38,201647926,
2022,38,201647927,
2022,38,201647928,
2022,38,201647929,
2022,38,201647930,
2022,38,201647931,
2022,42,188748019,
2022,38,201647932,
2022,38,201647933,
2022,42,188748037,
2022,38,201647934,
2022,42,188748041,
2022,38,201647935,
2022,3,188748046,
2022,38,201647936,
2022,38,201647937,
2022,42,188748066,
2022,38,201647938,
2022,42,188748071,
2022,38,201647944,
2022,42,201739022,
2022,38,201739026,
2022,38,201739028,
2022,38,201739031,
2022,42,201739033,
2022,38,201739043,
2022,38,201739046,
2022,38,201739047,
2022,38,201739048,
2022,38,201739050,
2022,3,196983945,
2022,38,201739051,
2022,38,196983968,
2022,38,196983971,
2022,38,196413555,
2022,38,196413556,
2022,38,196413573,
2022,38,196413580,
2022,38,196413584,
2022,38,196413585,
2022,38,196413592,
2022,38,196413593,
2022,38,196413596,
2022,38,196413597,
2022,38,196947085,
2022,38,196947088,
2022,38,196947089,
2022,38,196947090,
2022,38,196947091,
2022,38,201739054,
2022,38,196947098,
2022,38,196947099,
2022,38,196947100,
2022,38,196947103,
2022,38,196947105,
2022,38,196947111,
2022,3,196947113,
2022,38,196947119,
2022,38,196947123,
2022,38,196947124,
2022,38,196947126,
2022,38,196947127,
2022,38,196947128,
2022,38,196947132,
2022,38,196956565,
2022,38,196956569,
2022,38,196956579,
2022,38,196956583,
2022,38,196956590,
2022,38,196956596,
2022,38,196956605,
2022,38,196956609,
2022,38,196956612,
2022,42,196947139,
2022,38,201739055,
2022,38,196947153,
2022,38,196947154,
2022,38,196947156,
2022,38,197015609,
2022,38,197015611,
2022,38,197015624,
2022,38,197015625,
2022,38,197015626,
2022,38,197015627,
2022,41,181316471,
2022,41,181316480,
2022,39,181316483,
2022,42,181655592,
2022,41,181655596,
2022,42,181655597,
2022,39,181655606,
2022,39,181655608,
2022,41,181655611,
2022,41,181655612,
2022,41,181655619,
2022,38,181655628,
2022,38,181655629,
2022,41,184167817,
2022,3,181655642,
2022,1,181655651,
2022,41,181655654,
2022,42,181655655,
2022,41,181655656,
2022,1,181655659,
2022,41,181655660,
2022,42,193730900,
2022,41,181655661,
2022,41,181655663,
2022,41,181655664,
2022,42,181655667,
2022,41,181463630,
2022,41,192077529,
2022,39,183897521,
2022,41,187358598,
2022,42,187358602,
2022,42,187358603,
2022,41,187424814,
2022,3,179702207,
2022,39,181655669,
2022,41,192077532,
2022,3,181655672,
2022,41,187424820,
2022,1,187984353,
2022,42,187984355,
2022,42,187984358,
2022,41,195111523,
2022,41,195111524,
2022,41,195111527,
2022,41,195111530,
2022,41,195111532,
2022,41,195111533,
2022,41,195111537,
2022,41,195111542,
2022,41,195111543,
2022,41,201602027,
2022,1,193638184,
2022,38,197551038,
2022,41,197551040,
2022,41,179702215,
