data_year,groupb_arrestee_id,weapon_code,weapon_id
2022,45965024,01,51
2022,45965025,01,51
2022,45965031,01,51
2022,45965023,01,51
2022,45965026,01,51
2022,45965028,01,51
2022,45965030,01,51
2022,45965032,01,51
2022,45965027,01,51
2022,45965029,01,51
2022,45965033,01,51
2022,45967372,01,51
2022,45965034,01,51
2022,45965036,01,51
2022,45965035,01,51
2022,45965631,01,51
2022,45966974,01,51
2022,45966976,01,51
2022,45966979,01,51
2022,45966977,01,51
2022,45966980,01,51
2022,45966975,01,51
2022,45966978,01,51
2022,45966972,01,51
2022,45966973,01,51
2022,45967373,01,51
2022,45967374,01,51
2022,46528873,01,51
2022,46528875,01,51
2022,46528878,01,51
2022,45967375,01,51
2022,45967376,01,51
2022,45967377,01,51
2022,45967378,01,51
2022,45967379,01,51
2022,45967380,01,51
2022,45967381,01,51
2022,46528874,01,51
2022,46528876,01,51
2022,46528877,01,51
2022,46528879,01,51
2022,46528880,01,51
2022,46528881,01,51
2022,46528882,01,51
2022,46528883,01,51
2022,46528884,01,51
2022,46528885,01,51
2022,46528887,01,51
2022,46528894,01,51
2022,46528886,01,51
2022,46528889,01,51
2022,46528890,01,51
2022,46528891,01,51
2022,45331287,01,51
2022,45331288,01,51
2022,45331289,01,51
2022,45331290,01,51
2022,45331291,01,51
2022,45331292,01,51
2022,45331293,01,51
2022,45525745,01,51
2022,45057892,01,51
2022,45331296,01,51
2022,45331297,01,51
2022,45331294,01,51
2022,45331295,01,51
2022,45525746,01,51
2022,45525750,01,51
2022,45525751,01,51
2022,45525755,01,51
2022,45525747,01,51
2022,45525753,01,51
2022,45525749,01,51
2022,45525754,01,51
2022,45525748,01,51
2022,46528892,01,51
2022,46528895,01,51
2022,46528896,01,51
2022,45754704,01,51
2022,45754703,01,51
2022,45754702,01,51
2022,45754705,01,51
2022,47997222,01,51
2022,46528888,01,51
2022,46528893,01,51
2022,46529270,01,51
2022,47920579,01,51
2022,46999419,01,51
2022,45754707,01,51
2022,45754710,01,51
2022,45754706,01,51
2022,45754709,01,51
2022,45754711,01,51
2022,46021795,01,51
2022,46021794,01,51
2022,46332489,01,51
2022,46332488,01,51
2022,47920580,01,51
2022,48732290,01,51
2022,47148038,01,51
2022,46021799,01,51
2022,46021797,01,51
2022,46021803,01,51
2022,46021804,01,51
2022,46021805,01,51
2022,46021801,01,51
2022,46998969,01,51
2022,46332490,01,51
2022,46391262,01,51
2022,47997223,01,51
2022,46998970,01,51
2022,46998971,01,51
2022,46332491,01,51
2022,47148040,01,51
2022,47148039,01,51
2022,47148041,01,51
2022,47368182,01,51
2022,46998968,01,51
2022,46998974,01,51
2022,46998975,01,51
2022,46998972,01,51
2022,46998976,01,51
2022,46998973,01,51
2022,46998977,01,51
2022,46998978,01,51
2022,46998979,01,51
2022,46998981,01,51
2022,47148042,01,51
2022,47633396,01,51
2022,48747900,01,51
2022,48747902,01,51
2022,48732292,01,51
2022,48732288,01,51
2022,47997221,01,51
2022,47997226,01,51
2022,48732289,01,51
2022,48732291,01,51
2022,47997225,01,51
2022,46998983,01,51
2022,46998985,01,51
2022,47368183,01,51
2022,47368184,01,51
2022,47368185,01,51
2022,48747907,01,51
2022,48747904,01,51
2022,48747906,01,51
2022,48747908,01,51
2022,47997227,01,51
2022,47997228,01,51
2022,47148044,01,51
2022,47148047,01,51
2022,47148046,01,51
2022,47148048,01,51
2022,47368186,01,51
2022,47368187,01,51
2022,47368188,01,51
2022,47368189,01,51
2022,47633397,01,51
2022,48747909,01,51
2022,47997229,01,51
2022,47368190,01,51
2022,47368192,01,51
2022,47368193,01,51
2022,47368194,01,51
2022,47633398,01,51
2022,47633399,01,51
2022,48747899,01,51
2022,48747912,01,51
2022,48747911,01,51
2022,48747910,01,51
2022,47633401,01,51
2022,48747913,01,51
2022,48747914,01,51
2022,48747915,01,51
2022,47911544,01,51
2022,47911549,01,51
2022,47911540,01,51
2022,47911545,01,51
2022,47911547,01,51
2022,47919345,01,51
2022,47919341,01,51
2022,47919342,01,51
2022,47919343,01,51
2022,47919344,01,51
2022,47919339,01,51
2022,47919340,01,51
2022,47919346,01,51
2022,47835386,01,51
