"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,12,156997187,32017148
2020,12,156997212,32017162
2020,12,157001560,32015684
2020,12,156997280,32017184
2020,21,156997296,32017187
2020,22,156997333,32017200
2020,2,157001723,32017231
2020,12,156997439,32017245
2020,22,157001772,32015748
2020,22,156997496,32017275
2020,12,156997176,32017141
2020,12,156997174,32015629
2020,2,157001463,32017152
2020,12,157001508,32017167
2020,12,156997240,32015674
2020,21,157001556,32017178
2020,2,157001651,32017207
2020,22,156997351,32015721
2020,12,156997359,32017213
2020,12,156997377,32017220
2020,18,156997377,32017219
2020,12,157001729,32017235
2020,12,157001823,32015768
2020,2,156980579,32015285
2020,12,156980797,32015394
2020,18,156996485,32016898
2020,10,156980825,32015406
2020,2,156980842,32015414
2020,12,156980891,32016934
2020,18,156996595,32015448
2020,19,156996612,32016949
2020,11,156980934,32015453
2020,12,156996640,32016960
2020,12,156996725,32016986
2020,12,156981026,32016991
2020,12,156981052,32016996
2020,12,156981064,32015505
2020,9,156981096,32015529
2020,12,156981104,32015532
2020,12,156981118,32015539
2020,6,156996879,32015550
2020,12,157001179,32015551
2020,12,156996931,32017046
2020,12,157001337,32015597
2020,22,156997084,32015602
2020,3,156997086,32017107
2020,22,156997193,32015642
2020,12,157001435,32015630
2020,12,157001523,32015669
2020,3,157001641,32015712
2020,12,156997367,32017215
2020,3,156997434,32017242
2020,12,156997448,32015749
2020,12,156997461,32017261
2020,12,157001821,32017277
2020,18,156980688,32015348
2020,12,156980699,32015358
2020,12,156980819,32015404
2020,3,156980853,32016922
2020,12,156996600,32016945
2020,22,156996666,32016966
2020,12,156996678,32015476
2020,12,156996734,32015491
2020,2,156981019,32016988
2020,3,156996797,32015514
2020,18,156996798,32017004
2020,9,156996819,32017010
2020,12,156996927,32017043
2020,12,156997006,32017082
2020,12,156997022,32015581
2020,12,157001297,32017092
2020,22,157001345,32017104
2020,12,157001355,32015604
2020,12,157001388,32015612
2020,22,156996296,32016823
2020,12,156980836,32015410
2020,10,156996588,32016940
2020,12,156980947,32015458
2020,12,156980975,32015475
2020,12,156996690,32016974
2020,12,156996848,32017022
2020,12,156996849,32017023
2020,3,156981156,32015545
2020,3,157001291,32017090
2020,12,156997088,32015603
2020,12,156997172,32017139
2020,18,156997210,32015654
2020,12,157001498,32017164
2020,3,157001530,32015676
2020,3,156997242,32017171
2020,12,156997310,32017191
2020,22,157001629,32017198
2020,12,157001806,32015762
2020,9,156980464,32015231
2020,2,156980464,32016795
2020,19,156996299,32016824
2020,6,156996337,32016841
2020,3,156996337,32015310
2020,9,156980651,32015325
2020,12,156996355,32015331
2020,12,156996358,32016851
