"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,139663733,5
2020,139659359,5
2020,139663762,5
2020,139659451,4
2020,139663881,4
2020,139659476,5
2020,139663908,5
2020,139659480,5
2020,139659478,5
2020,139663916,4
2020,139659643,5
2020,139664032,4
2020,139664060,5
2020,139659734,5
2020,139659760,4
2020,139659794,5
2020,139659792,5
2020,139659799,5
2020,139659928,4
2020,139664231,4
2020,139659970,4
2020,139660089,5
2020,139664362,4
2020,139660143,4
2020,139660189,5
2020,139660246,5
2020,139664448,4
2020,139660274,5
2020,139660302,5
2020,139664493,5
2020,139660389,5
2020,139660398,5
2020,139660435,4
2020,139660433,5
2020,139660568,4
2020,139660572,5
2020,139660571,7
2020,139660609,6
2020,139660638,8
2020,139664664,5
2020,139664679,5
2020,139660710,4
2020,139660726,4
2020,139664707,5
2020,139660808,4
2020,139660805,5
2020,139664796,5
2020,139663780,5
2020,139663903,4
2020,139659534,4
2020,139659642,5
2020,139659759,5
2020,139659774,5
2020,139659901,3
2020,139664220,5
2020,139660127,4
2020,139664364,4
2020,139660273,4
2020,139660331,5
2020,139660373,4
2020,139660372,4
2020,139664520,5
2020,139660439,4
2020,139660590,4
2020,139660635,4
2020,139664677,5
2020,139664700,5
2020,139664706,4
2020,139664724,4
2020,139660814,4
2020,139660927,2
2020,139660935,5
2020,139663718,5
2020,139663735,4
2020,139663736,4
2020,139663740,5
2020,139663781,4
2020,139663836,5
2020,139663858,4
2020,139659571,5
2020,139663978,4
2020,139659609,4
2020,139664016,5
2020,139664028,4
2020,139664079,4
2020,139659762,5
2020,139664132,5
2020,139659804,5
2020,139664150,4
2020,139664224,5
2020,139664260,4
2020,139664282,4
2020,139664293,5
2020,139664355,4
2020,139664367,4
2020,139660151,4
2020,139660163,5
2020,139660188,4
2020,139660190,4
2020,139664395,5
2020,139660226,5
2020,139660251,5
2020,139660276,5
2020,139664462,4
2020,139660310,5
2020,139664503,4
2020,139660343,4
2020,139664508,4
2020,139660397,5
2020,139660399,4
2020,139660400,5
2020,139664573,5
2020,139660480,5
2020,139664575,5
2020,139660500,4
2020,139664608,4
2020,139660577,5
2020,139660591,5
2020,139660628,4
2020,139664665,4
2020,139660668,5
2020,139660671,5
2020,139660764,5
2020,139660778,5
2020,139660774,5
2020,139660776,5
2020,139660773,5
2020,139664727,4
2020,139660813,4
2020,139660819,5
2020,139660857,5
2020,139660936,5
2020,139664841,4
