"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,156996298
2020,4,156996318
2020,4,156996342
2020,4,156996350
2020,4,156980688
2020,4,156980699
2020,4,156996390
2020,4,156996392
2020,4,156996438
2020,4,156980764
2020,4,156980779
2020,4,156980819
2020,4,156996509
2020,4,156996524
2020,4,156980853
2020,4,156980875
2020,4,156980876
2020,4,156996600
2020,4,156996622
2020,4,156996666
2020,4,156996678
2020,4,156996702
2020,4,156996717
2020,4,156996735
2020,4,156996734
2020,4,156981019
2020,4,156996743
2020,4,156996797
2020,4,156996798
2020,4,156996820
2020,4,156996819
2020,4,156996898
2020,4,156996912
2020,4,156996927
2020,3,156996973
2020,4,156997006
2020,3,157001278
2020,4,156997022
2020,4,156997033
2020,4,157001297
2020,4,157001345
2020,4,157001355
2020,4,157001372
2020,4,157001388
2020,4,161137943
2020,4,161141852
2020,4,161137992
2020,4,161137995
2020,4,161141884
2020,4,161141889
2020,4,161138041
2020,4,161141914
2020,4,161138052
2020,4,161138104
2020,3,161138114
2020,1,161138114
2020,4,161138121
2020,4,161141970
2020,4,161138142
2020,4,161138155
2020,4,161138154
2020,4,161142012
2020,4,161138194
2020,4,161142059
2020,4,161138229
2020,4,161138256
2020,4,161142079
2020,4,161138273
2020,4,161142140
2020,4,161138303
2020,4,161142152
2020,4,161142172
2020,4,161142212
2020,4,161142211
2020,4,161142227
2020,4,161138388
2020,4,161142248
2020,4,161142273
2020,4,161138433
2020,4,161142304
2020,4,161138457
2020,4,161142336
2020,3,161138482
2020,4,161142354
2020,4,161142357
2020,4,161138529
2020,4,161142384
2020,4,161138528
2020,4,161142413
2020,4,161138556
2020,4,161142430
2020,4,161138571
2020,4,161138575
2020,4,161142481
2020,4,161142501
2020,4,161138665
2020,3,161138688
2020,4,161142544
2020,4,161138726
2020,4,161142571
2020,4,161138737
2020,4,161138764
2020,4,161138788
2020,1,161142634
2020,4,161138828
2020,4,161142678
2020,4,161138858
2020,4,161138873
2020,4,161138895
2020,4,161138907
2020,1,161142789
2020,4,161142793
2020,1,161138991
2020,4,161139005
2020,4,161139034
2020,4,161139062
2020,4,161142935
2020,4,161139086
2020,4,161139100
2020,1,161139110
2020,4,161143018
2020,4,161139162
2020,4,161143042
2020,4,161139177
2020,4,161143086
2020,4,161143085
2020,4,161143095
2020,4,161143195
2020,4,161139313
2020,4,161143258
2020,4,161143256
2020,4,161139395
2020,3,161143300
2020,3,161143299
2020,4,161139428
2020,4,161143355
2020,4,161143379
2020,1,161143394
2020,4,161139480
2020,4,161137152
2020,4,161137166
2020,4,161137172
2020,4,161143070
2020,4,161139223
2020,4,161139233
2020,4,161137230
2020,4,161137248
2020,4,161138064
2020,4,161137280
2020,4,161137278
2020,4,161135358
2020,4,161137512
2020,4,161137535
2020,4,161137533
2020,4,161141387
2020,4,161137572
2020,4,161137583
2020,4,161141455
2020,4,161141462
2020,4,161141464
2020,4,161137707
2020,4,161141587
2020,4,161137780
2020,3,161141661
2020,4,161141659
2020,4,161137812
2020,4,161137814
2020,4,161141711
2020,4,161137844
2020,4,161141737
2020,4,161141746
2020,4,161137882
2020,4,161141787
2020,4,161141798
2020,4,161137925
2020,4,161137968
2020,1,161137989
2020,4,161138062
2020,4,161138088
2020,4,161141949
2020,4,161138144
2020,4,161138180
