"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,153751963
2020,21,153756413
2020,21,153756416
2020,21,153756434
2020,21,153756433
2020,21,153756439
2020,21,153756440
2020,21,153751995
2020,21,153756467
2020,21,153752020
2020,21,153752019
2020,21,153752030
2020,21,153756480
2020,21,153752047
2020,21,153752046
2020,21,153752067
2020,21,153752074
2020,21,153752077
2020,21,153752115
2020,21,153752114
2020,21,153756569
2020,21,153752182
2020,21,153752189
2020,21,153752194
2020,21,153752256
2020,21,153752262
2020,21,153752272
2020,21,153752276
2020,21,153752303
2020,21,153756692
2020,21,153756698
2020,21,153756709
2020,21,153756735
2020,21,153756746
2020,21,153756765
2020,21,153752430
2020,21,153752453
2020,21,153752495
2020,21,153756822
2020,21,153752547
2020,21,153756858
2020,21,153752592
2020,21,153752635
2020,21,153756892
2020,21,153752690
2020,21,153752724
2020,21,153752732
2020,21,153752731
2020,21,153757013
2020,21,153757012
2020,21,153752822
2020,21,153752828
2020,21,153752858
2020,21,153752868
2020,21,153752870
2020,21,153752882
2020,21,153757081
2020,22,153757105
2020,21,153752968
2020,21,153753026
2020,21,153753036
2020,21,153753048
2020,21,153753106
2020,21,153753140
2020,21,153753141
2020,21,153757231
2020,21,153753195
2020,21,153753194
2020,21,153753191
2020,21,153753227
2020,21,153753325
2020,21,153753344
2020,21,153757311
2020,21,153753381
2020,21,153753382
2020,21,153757331
2020,21,153757330
2020,21,153753440
2020,21,153757375
2020,21,153757378
2020,21,153753458
2020,21,153753474
2020,21,153753479
2020,21,153753495
2020,21,150571800
2020,21,150571835
2020,21,150571847
2020,21,150576414
2020,21,150571880
2020,21,150571906
2020,21,150571905
2020,21,150576373
2020,21,150571898
2020,21,150571899
2020,21,150571900
2020,21,150576469
2020,21,150571947
2020,21,150571955
2020,21,150571975
2020,21,150571989
2020,21,150571988
2020,22,150572003
2020,21,150572008
2020,21,150572007
2020,21,150576558
2020,21,150576576
2020,21,150576575
2020,21,150572020
2020,21,150572019
2020,21,150572023
2020,21,150572034
2020,21,150572042
2020,21,150572046
2020,21,150572047
2020,21,150576593
2020,21,150576382
2020,21,150576420
2020,21,150576422
2020,21,150576446
2020,21,150571926
