"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,139659922,153756869
2020,139664212,153756869
2020,139659929,153752613
2020,139659945,153752634
2020,139664242,153756891
2020,139664241,153756891
2020,139659972,153756893
2020,139659971,153756893
2020,139659975,153756897
2020,139664274,153756928
2020,139664274,153756927
2020,139664277,153756932
2020,139660058,153752735
2020,139660142,153757017
2020,139660140,153757017
2020,139660162,153752853
2020,139660162,153757044
2020,139660173,153757052
2020,139660174,153757052
2020,139660175,153757052
2020,139664385,153757050
2020,139664393,153752876
2020,139664418,153752910
2020,139660228,153752911
2020,139660294,153752984
2020,139660334,153753027
2020,139660334,153753028
2020,139660345,153753046
2020,139660363,153757161
2020,139660364,153757161
2020,139660370,153757163
2020,139660375,153753081
2020,139660401,153753103
2020,139664554,153753137
2020,139660446,153757204
2020,139660453,153753153
2020,139660471,153753172
2020,139660483,153753180
2020,139664582,153753190
2020,139664582,153753192
2020,139660525,153753217
2020,139660520,153753217
2020,139660532,153757248
2020,139660520,153757248
2020,139660519,153753217
2020,139664603,153757248
2020,139664603,153753217
2020,139660529,153753217
2020,139660522,153753219
2020,139660519,153757248
2020,139660557,153753253
2020,139664630,153757277
2020,139664630,153757276
2020,139660582,153757276
2020,135766618,149838704
2020,135766618,149838706
2020,135766618,149838705
2020,135766625,149838713
2020,135766627,149838715
2020,135766627,149838716
2020,139660582,153757277
2020,135766632,149838724
2020,135766638,149838732
2020,139660597,153753298
2020,139660611,153753306
2020,139660613,153753309
2020,139660611,153753308
2020,139660627,153753330
2020,139664661,153757313
2020,139660713,153757348
2020,139660716,153757349
2020,139664692,153757348
2020,139660714,153757348
2020,139664703,153753444
2020,139660795,153757394
2020,135766650,149838741
2020,135766650,149838742
2020,135766652,149838744
2020,135766653,149838745
2020,135766654,149838746
2020,135766655,149838747
2020,135766656,149838748
2020,135766657,149838749
2020,135766659,149838751
2020,135766658,149838750
2020,135766660,149838752
2020,135766661,149838753
2020,135766662,149838753
2020,135766663,149838754
2020,135766664,149838755
2020,135766665,149838756
2020,135766666,149838757
2020,135766667,149838757
2020,139660812,153757401
2020,135766672,149838761
2020,139660811,153757401
2020,139664738,153757401
2020,134462943,148251209
2020,134456837,148251209
2020,134456858,148246433
2020,134456857,148246433
2020,134456854,148246431
2020,134456863,148251211
2020,134456865,148246443
2020,134456865,148246442
2020,134456867,148246446
2020,134456888,148246469
2020,139659332,153751978
2020,139659380,153752017
2020,139663780,153756469
2020,139663780,153756468
2020,139659385,153752025
2020,139663831,153756506
2020,139659460,153752119
2020,139663879,153756552
2020,139663879,153756551
2020,139663882,153756558
2020,139659463,153756560
2020,139663903,153752138
2020,139663903,153752139
2020,139659479,153756578
2020,139659522,153756611
2020,139659534,153756622
2020,139663952,153752199
2020,139659566,153752216
2020,139659574,153752225
2020,139659578,153756658
2020,139659590,153756664
2020,139659642,153752300
2020,139659651,153752313
2020,139659678,153752340
2020,139659685,153752349
2020,139659696,153756714
2020,139659691,153756714
2020,139659695,153756714
2020,139659690,153756714
2020,139659693,153756714
2020,139659692,153756714
2020,139659700,153752359
2020,139664066,153756726
2020,139659714,153752367
2020,139659714,153752369
2020,139659717,153752375
2020,139664078,153752380
2020,139664088,153752385
2020,139664093,153752392
2020,139659746,153756766
2020,139659766,153752431
2020,139659759,153752422
2020,139659759,153752421
2020,139659774,153752439
2020,139659774,153752438
2020,139659773,153752435
2020,139659773,153752436
2020,139659779,153752444
2020,139659783,153752447
2020,139659784,153752449
2020,139659803,153752467
2020,139659791,153752460
2020,139659793,153752461
2020,139659818,153752483
2020,139659826,153752491
2020,139659834,153752503
2020,139664159,153756820
2020,139659846,153752513
2020,139659847,153756827
2020,139664165,153752520
2020,139664166,153752520
2020,139664169,153756832
2020,139659869,153752534
2020,139659870,153752534
2020,139659889,153752556
2020,135766610,149838695
2020,135766613,149838698
2020,135766615,149838701
2020,135770498,149838708
2020,135766620,149838709
2020,135766622,149838710
2020,135766621,149838710
2020,135766628,149838718
2020,135766628,149838717
2020,135766636,149838729
2020,135766636,149838730
2020,135766648,149838739
2020,135766673,149838762
2020,135766674,149838763
2020,134456847,148246423
2020,134456848,148246423
2020,134456861,148246437
2020,134456884,148246463
2020,134456885,148246464
2020,134456908,148246492
2020,134456920,148251228
2020,134456919,148251229
2020,134456923,148246507
2020,134456922,148246507
2020,134462963,148246510
2020,134456927,148246511
2020,134456926,148246511
2020,134456930,148246512
2020,134456932,148246513
2020,134456940,148251240
2020,134456941,148246524
2020,134456945,148246526
2020,134456946,148246527
2020,134456948,148251251
2020,134456949,148246535
2020,134456950,148246537
2020,134456953,148246540
2020,134456954,148246541
2020,134456955,148246542
2020,134456956,148246543
2020,134456957,148246544
2020,134456958,148246546
2020,134456959,148246545
2020,134456958,148246545
2020,134456960,148246547
2020,134456961,148246548
2020,134456962,148246549
2020,134456963,148246550
2020,134456964,148246551
2020,134456965,148246552
2020,134456967,148246555
2020,134456966,148246553
2020,134456966,148246554
2020,134456968,148246556
2020,134456969,148246557
2020,134456970,148246558
2020,134456971,148246558
2020,134456972,148246559
2020,134456973,148246561
2020,134456973,148246560
2020,134456976,148246564
2020,134456977,148246565
2020,134456977,148246566
2020,134456978,148246567
2020,134456979,148246568
2020,134456980,148246569
2020,134456981,148246570
2020,134456982,148246571
2020,134456983,148246572
2020,134456984,148246573
2020,134456985,148246575
2020,134456985,148246574
2020,134456986,148246576
2020,134456987,148246577
2020,134456988,148246577
2020,134456989,148246578
2020,134456990,148246579
2020,134456991,148246579
2020,134456992,148246581
2020,134456992,148246580
2020,134456993,148246582
2020,134456994,148246583
2020,134456995,148246584
2020,134456996,148246585
2020,134456997,148246585
2020,134456998,148246586
2020,134456999,148246587
2020,134457000,148246588
2020,134457001,148246589
2020,134457001,148246590
2020,134457003,148246593
2020,134457004,148246594
2020,134457004,148246595
2020,134457005,148246596
2020,134457006,148246597
2020,134457007,148246598
2020,134457008,148246599
2020,134457009,148246600
2020,134457009,148246601
2020,134457011,148246603
2020,134457013,148246606
2020,134457013,148246605
2020,134457014,148246607
2020,134457016,148246609
2020,134457015,148246608
2020,134457017,148246610
2020,134457017,148246611
2020,134457019,148246612
2020,134457018,148246612
2020,134457020,148246612
2020,134457021,148246613
2020,134457022,148246614
2020,134457023,148246615
2020,134457024,148246616
2020,134457025,148246617
2020,134457026,148246618
2020,134457026,148246619
2020,134457027,148246620
2020,134457028,148246621
2020,134457030,148246622
2020,134457029,148246622
2020,134457031,148246623
2020,134457032,148246624
2020,134457034,148246625
2020,134457033,148246627
2020,134457033,148246626
2020,134457035,148246628
2020,134457036,148246629
2020,134457037,148246630
2020,134457038,148246632
2020,134457039,148246631
2020,134457042,148246633
2020,134457043,148246633
2020,134457040,148246634
2020,134457041,148246633
2020,134457040,148246633
2020,134457041,148246634
2020,134457044,148246635
2020,134457044,148246636
2020,134457045,148246637
2020,134457046,148246638
2020,134457047,148246639
2020,134457048,148246640
2020,134457049,148246641
2020,134457051,148246643
2020,134457052,148246644
2020,134457053,148246645
2020,134457054,148246646
2020,134457055,148246647
2020,134457056,148246648
2020,134457058,148246649
2020,134457057,148246649
2020,134457059,148246650
2020,134457060,148246651
2020,134457061,148246652
2020,134457063,148246653
2020,134457062,148246653
2020,134457064,148246654
2020,134457065,148246655
2020,134457066,148246656
2020,134457067,148246657
2020,134457068,148246658
2020,134457070,148246663
2020,134457070,148246662
2020,134457070,148246661
2020,134457071,148246664
2020,134457072,148246665
2020,134457073,148246666
2020,134457074,148246667
2020,134457075,148246668
2020,134457076,148246670
2020,134457076,148246669
2020,134457077,148246672
2020,134457077,148246671
2020,134457078,148246672
2020,134457079,148246673
2020,134457080,148246674
2020,134457081,148246675
2020,134457082,148246676
2020,134457083,148246677
2020,134457084,148246678
2020,134457085,148246679
2020,134457086,148246680
2020,134457087,148246681
2020,134457088,148246682
2020,134457089,148246683
2020,134457090,148246684
2020,134457091,148246685
2020,134457092,148246686
2020,134457093,148246688
2020,134457093,148246687
2020,134457094,148246688
2020,134457095,148246689
2020,134457096,148246690
2020,134457096,148246691
2020,134457098,148246694
2020,134457098,148246693
2020,134457099,148246696
2020,134457099,148246695
2020,134457102,148246698
2020,134457100,148246697
2020,134457101,148246697
2020,134457103,148246699
2020,134457104,148246699
2020,134457105,148246701
2020,134457105,148246700
2020,134457106,148246702
2020,134457108,148246703
2020,134457108,148246704
2020,134457107,148246703
2020,134457107,148246704
2020,134457109,148246705
2020,134457110,148246706
2020,134457111,148246707
2020,134457112,148246708
2020,134457113,148246709
2020,134457114,148246710
2020,134457115,148246711
2020,134457117,148246713
2020,134457118,148246714
2020,134457120,148246716
2020,134457119,148246715
2020,134457119,148246716
2020,134457121,148246717
2020,134457122,148246718
2020,134457123,148246719
2020,134457124,148246720
2020,134457125,148246721
2020,134457126,148246722
2020,134457127,148246723
2020,134457128,148246724
2020,134457129,148246725
2020,134457130,148246726
2020,134457131,148246727
2020,134457132,148246728
2020,134457133,148246729
2020,134457134,148246730
2020,134457135,148246730
2020,134457136,148246731
2020,134457137,148246732
2020,134457138,148246733
2020,134457139,148246734
2020,134457140,148246735
2020,134457141,148246736
2020,134457142,148246737
2020,134457143,148246738
2020,134457145,148246739
2020,134457144,148246740
2020,134457146,148246741
2020,134457146,148246742
2020,134457147,148246743
2020,134457148,148246744
2020,134457151,148246747
2020,134457152,148246748
2020,134457152,148246749
2020,134457153,148246750
2020,134457154,148246751
2020,134457155,148246752
2020,134457156,148246753
2020,134457157,148246754
2020,134457159,148246755
2020,134457158,148246755
2020,134457160,148246756
2020,134457161,148246757
2020,134457162,148246758
2020,134457163,148246759
2020,134457164,148246759
2020,134457165,148246761
2020,134457165,148246760
2020,134457167,148246763
2020,134457168,148246764
2020,134457169,148246765
2020,134457170,148246765
2020,134457171,148246766
2020,134457172,148246767
2020,134457173,148246768
2020,134457174,148246769
2020,134457175,148246771
2020,134457175,148246770
2020,134457176,148246772
2020,134457177,148246773
