DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID
2020,5659,133792058,8572330,,01-FEB-21,22-OCT-20,,20,6,,0,C,F,93380274
2020,5659,133792107,8572330,,01-FEB-21,18-OCT-20,,0,6,,0,C,F,93380355
2020,5659,133787865,8572330,N,01-FEB-21,25-OCT-20,,0,6,,0,C,F,93380374
2020,5659,133787877,8567238,,01-FEB-21,07-NOV-20,,20,6,,0,C,F,93382015
2020,5659,133792153,8567238,N,01-FEB-21,12-NOV-20,,16,6,,0,C,F,93380429
2020,5659,133792161,8539830,,01-FEB-21,01-DEC-20,,13,6,,0,C,F,93380441
2020,5659,133787910,8539830,N,01-FEB-21,17-DEC-20,,15,6,,0,C,F,93382074
2020,5659,133792173,8532866,,01-FEB-21,06-SEP-20,,20,6,,0,C,F,93382084
2020,5659,133787943,8572330,,01-FEB-21,19-OCT-20,,17,6,,0,C,F,93380505
2020,5659,133787961,8520426,N,01-FEB-21,25-AUG-20,,18,2,06-OCT-20,0,C,F,93382139
2020,5659,133792233,8527158,,01-FEB-21,23-FEB-20,,11,6,,0,C,F,93382160
2020,5659,133792257,8567238,,01-FEB-21,03-NOV-20,,2,6,,0,C,F,93380598
2020,5659,133792293,8567238,,01-FEB-21,26-NOV-20,,13,6,,0,C,F,93382252
2020,5659,133792299,8572330,,01-FEB-21,19-OCT-20,,11,6,,0,C,F,93382267
2020,5659,133792326,8567238,,01-FEB-21,01-NOV-20,,23,6,,0,C,F,93380703
2020,5659,133792362,8539830,,01-FEB-21,29-DEC-20,,15,6,,0,C,F,93382355
2020,5659,133792367,8567238,,01-FEB-21,13-NOV-20,,19,6,,0,C,F,93380777
2020,5659,133792375,8567238,N,01-FEB-21,02-NOV-20,,12,6,,0,C,F,93382370
2020,5659,133792392,8532866,,01-FEB-21,14-SEP-20,,0,6,,0,C,F,93382393
2020,5659,133792396,8572330,,01-FEB-21,27-OCT-20,,22,6,,0,C,F,93380818
2020,5659,133792409,8567238,,01-FEB-21,05-NOV-20,,12,6,,0,C,F,93382409
2020,5659,133792452,8539830,N,01-FEB-21,07-DEC-20,,12,6,,0,C,F,93380912
2020,5659,133792478,8539830,,01-FEB-21,12-DEC-20,,0,2,15-DEC-20,0,C,F,93380958
2020,5659,133792487,8567238,,01-FEB-21,21-NOV-20,,21,6,,0,C,F,93380970
2020,5659,133788216,8567238,,01-FEB-21,09-NOV-20,,0,6,,0,C,F,93382515
2020,5659,133792491,8532866,,01-FEB-21,13-SEP-20,,22,6,,0,C,F,93380980
2020,5659,133792511,8520426,N,01-FEB-21,01-AUG-20,,8,6,,0,C,F,93382560
2020,5659,133792529,8567238,,01-FEB-21,30-NOV-20,,15,6,,0,C,F,93381039
2020,5659,133792534,8567238,N,01-FEB-21,12-NOV-20,,14,6,,0,C,F,93382612
2020,5659,133792540,8539830,,01-FEB-21,19-DEC-20,,22,6,,0,C,F,93382628
2020,5659,133792560,8567238,N,01-FEB-21,12-NOV-20,,9,6,,0,C,F,93382655
2020,5659,133788323,8532866,N,01-FEB-21,12-SEP-20,,18,2,23-SEP-20,0,C,F,93381109
2020,5659,133792597,8539830,N,01-FEB-21,21-DEC-20,,18,6,,0,C,F,93381139
2020,5659,133788391,8520426,,01-FEB-21,27-AUG-20,,18,6,,0,C,F,93381223
2020,5659,133792676,8572330,N,01-FEB-21,29-OCT-20,,6,6,,0,C,F,93382855
2020,5659,133792692,8572330,,01-FEB-21,05-OCT-20,,9,6,,0,C,F,93381281
2020,5659,133788437,8539830,,01-FEB-21,19-DEC-20,,20,6,,0,C,F,93382889
2020,5659,133788440,8572330,N,01-FEB-21,10-OCT-20,,7,6,,0,C,F,93381286
2020,5659,133788454,8572330,,01-FEB-21,11-OCT-20,,15,6,,0,C,F,93382910
2020,5659,133792716,8572330,N,01-FEB-21,28-OCT-20,,2,6,,0,C,F,93381316
2020,5659,133792744,8520426,N,01-FEB-21,21-AUG-20,,19,6,,0,C,F,93382960
2020,5659,133792750,8567238,,01-FEB-21,30-NOV-20,,19,6,,0,C,F,93382966
2020,5659,133792782,8572330,,01-FEB-21,03-OCT-20,,19,6,,0,C,F,93381443
2020,5659,133792796,8532866,N,01-FEB-21,21-SEP-20,,16,6,,0,C,F,93381460
2020,5659,133792819,8539830,,01-FEB-21,18-DEC-20,,10,6,,0,C,F,93381488
