"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,3,151623841
2020,9,151623854
2020,6,151624127
2020,6,151632695
2020,6,151624222
2020,9,151632390
2020,6,151624007
2020,6,151632453
2020,6,151624029
2020,6,151624053
2020,9,151624252
2020,6,151632560
2020,9,151632582
2020,6,151632592
2020,6,151632640
2020,9,151624153
2020,9,151632637
2020,9,151632199
2020,9,151623890
2020,6,151632382
2020,6,151624004
2020,6,151624065
2020,8,151632585
2020,6,151632613
2020,9,151632766
2020,2,162958040
2020,4,163185125
2020,6,163180680
2020,6,163180681
2020,8,163180681
2020,6,163185288
2020,6,163185378
2020,9,156997191
2020,9,157001502
2020,9,156997307
2020,5,157001718
2020,9,151632332
2020,6,151632418
2020,9,151632425
2020,9,151624115
2020,9,151632633
2020,9,151632690
2020,9,151623869
2020,6,151623871
2020,6,151632277
2020,9,151632402
2020,9,151623965
2020,9,151632400
2020,9,151632557
2020,9,151632429
2020,9,151624001
2020,6,151624058
2020,9,151632562
2020,9,151624283
2020,6,151632295
2020,6,151632296
2020,1,151632405
2020,1,151632404
2020,9,151623977
2020,9,151624062
2020,6,151632704
2020,9,151624299
2020,3,156996319
2020,6,156996303
2020,9,156980628
2020,6,156980665
2020,6,156996400
2020,6,156980758
2020,9,156996450
2020,10,156996584
2020,9,156996605
2020,9,156996806
2020,9,156996816
2020,6,156996830
2020,9,156981123
2020,6,156981137
2020,6,156996991
2020,6,157001259
2020,9,157001668
2020,6,156997420
2020,6,157001731
2020,6,156997457
2020,6,151632387
2020,3,151632403
2020,3,151623964
2020,9,151632435
2020,6,151624041
2020,9,151624056
2020,3,151632591
2020,1,151632653
2020,6,151624301
2020,9,151623902
2020,6,151623951
2020,9,151623983
2020,6,151632530
2020,9,151624133
2020,1,151632645
2020,9,151632682
2020,9,151632440
2020,5,151623999
2020,9,151632621
2020,9,151632393
2020,6,151623962
2020,6,151632575
2020,9,151624217
2020,9,151632778
2020,6,153751969
2020,6,153756411
2020,6,153752395
2020,9,153752425
2020,9,153752623
2020,6,153752638
2020,9,153752874
2020,9,153752912
2020,6,153752926
2020,9,153753170
2020,9,153753462
2020,9,153756415
2020,6,153752024
2020,6,153756570
2020,9,153756607
2020,6,153756783
2020,9,153756796
2020,9,153752527
2020,1,153756875
2020,6,153757033
2020,6,153757195
2020,5,153753158
2020,9,153757300
2020,6,153757332
2020,9,151623850
2020,6,151632237
2020,8,151624025
2020,9,151624077
2020,6,151623922
2020,9,151632289
2020,9,151632395
2020,9,151623968
2020,6,151623981
2020,9,151632511
2020,9,151632589
2020,9,151632657
2020,6,151623844
2020,8,151623845
2020,6,151623845
2020,6,151632301
2020,6,151632316
2020,6,151632351
2020,9,151632426
2020,6,151624098
2020,6,151632581
2020,6,151632660
2020,9,151624243
2020,9,151624260
2020,9,148246446
2020,6,161141956
2020,6,161137243
2020,6,161138673
2020,6,161137604
2020,2,161137631
2020,9,161141536
2020,1,161141628
2020,3,161141735
2020,6,161141845
2020,8,161138039
2020,8,161141923
2020,6,161138084
2020,8,161138084
2020,6,161138787
2020,6,161142641
2020,6,161142855
2020,6,161139408
2020,6,148256215
2020,6,148246429
2020,8,148246473
2020,6,148246484
2020,6,148251228
2020,3,148246512
2020,6,148246526
2020,6,148246527
2020,6,148246541
2020,6,148246550
2020,9,148246603
2020,9,148246608
2020,6,148246617
2020,6,148246624
2020,6,148246631
2020,8,148246637
2020,6,148246650
2020,9,148246653
2020,6,148246654
2020,9,148246661
2020,6,148246666
2020,9,148246667
2020,1,148246689
2020,8,148246691
2020,8,148246694
2020,8,148246696
2020,9,148246697
2020,9,148246700
2020,10,148246702
2020,6,148246709
2020,9,148246710
2020,9,148246711
2020,6,148246732
2020,6,148246739
2020,9,148246744
2020,9,148246747
2020,6,148246749
2020,6,148246748
2020,9,148246755
2020,6,148246778
2020,9,148246786
2020,9,148246787
2020,9,148246788
2020,6,148246799
2020,6,148246801
2020,6,148246803
2020,6,148246811
2020,6,148246822
2020,9,148246854
2020,9,148246860
2020,6,148246862
2020,6,148246874
2020,6,148246884
2020,6,148246890
2020,6,148246891
2020,6,148246894
2020,9,148246898
2020,6,148246911
2020,9,148246915
2020,6,148246917
2020,8,148246935
2020,6,148246943
2020,6,148246946
2020,6,148246957
2020,1,148246961
2020,6,148246970
2020,6,148246982
2020,6,148246983
2020,6,148246984
2020,6,148246987
2020,6,148247001
2020,6,148247011
2020,9,148247013
2020,9,148247024
2020,9,148247026
2020,9,148247037
2020,9,148247044
2020,9,148247045
2020,9,148247054
2020,9,148247056
2020,9,148247058
2020,6,148247066
2020,9,148247076
2020,9,148247082
2020,9,148247089
2020,6,148247104
2020,6,148247113
2020,6,148247133
2020,6,148247144
2020,9,148247146
2020,9,148247155
2020,9,148247158
2020,6,148247161
2020,9,148247170
2020,6,148247203
2020,6,148247217
2020,6,148247219
2020,6,148247225
2020,6,148247227
2020,6,148247233
2020,6,148247242
2020,6,148247243
2020,6,148247252
2020,9,148247259
2020,3,148247261
2020,9,148247263
2020,6,148247265
2020,9,148247268
2020,9,148247270
2020,6,148247274
2020,6,148247280
2020,6,148247279
2020,9,148247284
2020,6,148247287
2020,6,148247286
2020,9,148247288
2020,6,148247289
2020,8,148247296
2020,9,148247300
2020,8,148247305
2020,6,148247318
2020,6,148247348
2020,1,148247360
2020,2,148247361
2020,6,148247368
2020,9,148247370
2020,9,148247374
2020,6,148247379
2020,9,148247390
2020,1,148247395
2020,9,148247411
2020,8,148247423
2020,9,148247428
2020,9,153756622
2020,3,153756658
2020,6,153752359
2020,9,153752421
2020,9,153752566
2020,9,153757142
2020,9,153757199
2020,6,153753249
2020,6,153753248
2020,9,153757333
2020,5,161137169
2020,9,161135260
2020,8,161135262
2020,9,161137217
2020,3,161135363
2020,9,153756599
2020,5,153752229
2020,9,153752353
2020,9,153752388
2020,9,153752906
2020,9,153757128
2020,6,153753305
2020,3,163073971
2020,3,163180578
2020,3,163180576
2020,6,163185128
2020,6,163180811
2020,9,150577196
2020,6,150577202
2020,6,150577204
2020,6,150577205
2020,9,150577214
2020,6,150577224
2020,9,150577252
2020,5,150577255
2020,9,150577264
2020,6,150577281
2020,9,150577286
2020,6,150577288
2020,6,150577303
2020,9,150577306
2020,9,150577310
2020,11,150577316
2020,9,150577318
2020,6,150577325
2020,9,150577326
2020,6,150577329
2020,6,150577343
2020,6,150577347
2020,6,150577358
2020,9,150577360
2020,9,150577362
2020,9,150577363
2020,6,150577366
2020,9,150577397
2020,6,150577404
2020,9,150577406
2020,6,150577424
2020,8,150577433
2020,9,150577461
2020,2,150577465
2020,3,150577467
2020,6,153751979
2020,9,153752015
2020,6,153752034
2020,9,153756530
2020,6,153752117
2020,9,153752163
2020,9,153756614
2020,6,153752289
2020,6,153752296
2020,9,153752295
2020,6,153752309
2020,6,153752337
2020,6,153752363
2020,9,153752368
2020,9,153752381
2020,6,153752393
2020,9,153752532
2020,6,153756839
2020,9,153752567
2020,9,153752574
2020,9,153752644
2020,9,153752820
2020,9,153752816
2020,9,153752955
2020,9,153752952
2020,3,153757170
2020,6,153753159
2020,9,153757215
2020,9,153753197
2020,3,153753295
2020,6,153757295
2020,9,153753337
2020,6,153757323
2020,9,153757379
2020,1,153753675
2020,9,150576328
2020,6,149835682
2020,6,149835688
2020,9,149835699
2020,9,149835700
2020,9,149835704
2020,9,149835706
2020,9,149835710
2020,9,149835711
2020,6,150576394
2020,6,150576398
2020,9,150571949
2020,6,150571961
2020,6,150576549
2020,6,150572005
2020,9,149838733
2020,8,149838762
2020,6,163068205
2020,6,163074047
2020,6,163074059
2020,6,163074061
2020,3,156996304
2020,6,156980592
2020,9,156980594
2020,6,156996338
2020,6,156980672
2020,6,156980674
2020,6,156996436
2020,6,156996435
2020,9,156980768
2020,6,156996462
2020,6,156980795
2020,9,156997014
2020,6,157001332
2020,6,157001452
2020,6,157001450
2020,9,157001547
2020,8,156997276
2020,6,156997276
2020,6,157001632
2020,9,157001789
2020,9,157001540
2020,9,157001615
2020,9,156980954
2020,8,156997023
2020,6,157001367
2020,6,157001368
2020,3,156980751
2020,3,156980750
2020,9,156980868
2020,9,156996744
2020,6,156981080
2020,6,156996834
2020,9,156996855
2020,9,157001330
2020,6,156997269
2020,8,157001793
2020,8,157001639
2020,9,156996443
2020,9,156980790
2020,6,156980809
2020,9,156996542
2020,6,156981043
2020,8,156996807
2020,9,156981136
2020,8,157001225
2020,6,156996976
2020,3,163073781
2020,7,163073923
2020,6,150576382
2020,9,150576480
2020,9,150576458
2020,9,150576457
2020,1,150576762
2020,9,150576764
2020,9,150576773
2020,9,150576777
2020,9,150576783
2020,6,150576785
2020,8,150576787
2020,6,150576796
2020,6,150576795
2020,9,150576805
2020,6,150576807
2020,6,150576814
2020,9,150576819
2020,6,150576830
2020,6,150576832
2020,6,150576834
2020,1,150576838
2020,6,150576840
2020,9,150576847
2020,8,150576849
2020,6,150576851
2020,2,150576855
2020,9,150576870
2020,9,150576886
2020,5,150576895
2020,6,150576902
2020,6,150576914
2020,9,150576915
2020,3,150576919
2020,6,150576925
2020,9,150576929
2020,6,150576936
2020,6,150576943
2020,6,150576967
2020,6,150576968
2020,6,150576972
2020,6,150576992
2020,6,150576997
2020,6,150576996
2020,5,150577025
2020,9,150577026
2020,6,150577038
2020,9,150577044
2020,6,150577045
2020,9,150577052
2020,9,150577067
2020,9,150577098
2020,9,150577102
2020,9,150577103
2020,6,150577114
2020,6,150577121
2020,3,150577124
2020,9,150577143
2020,9,150577172
2020,8,150577187
2020,6,150577193
2020,6,150577192
2020,9,153756402
2020,9,153756401
2020,9,153756446
2020,9,153756510
2020,6,153756524
2020,9,153752105
2020,6,153752113
2020,6,153752112
2020,9,153756640
2020,9,153752293
2020,6,153756699
2020,9,153752336
2020,9,153756732
2020,6,153756747
2020,6,153756753
2020,6,153756752
2020,9,153752406
2020,9,153756768
2020,9,153756799
2020,6,153756837
2020,8,153756859
2020,6,153752590
2020,1,153752597
2020,9,153756948
2020,9,153757079
2020,9,153752994
2020,9,153753336
2020,9,153757320
2020,8,153757416
2020,8,153753609
2020,6,162963248
2020,3,162963379
2020,3,163185609
2020,8,163185326
2020,6,163180585
2020,7,163185109
2020,1,163185087
2020,6,163185167
2020,1,163185320
2020,1,163180816
2020,8,163185506
2020,6,163181052
2020,3,162963606
2020,3,162962866
2020,8,162962999
2020,3,163181123
2020,8,163180709
2020,8,163185171
2020,3,163180786
2020,9,163185324
2020,6,163180673
2020,3,163185375
2020,6,163185375
2020,8,163185472
2020,6,163180879
2020,3,162958198
2020,6,163185338
2020,7,163185626
2020,6,163180690
2020,6,163185159
2020,6,161137153
2020,9,161135309
2020,1,161137683
2020,8,161137699
2020,6,161137821
2020,2,161138026
2020,9,161138109
2020,6,161138308
2020,8,161138417
2020,6,161138621
2020,3,161138622
2020,6,161138635
2020,6,161138747
2020,5,161138935
2020,3,161142861
2020,3,161139020
2020,6,161139087
2020,8,161142958
2020,8,161143024
2020,1,161139181
2020,1,161139404
2020,2,161143348
2020,6,161143359
2020,2,163185075
2020,6,163185083
2020,6,163185084
2020,1,163180611
2020,8,163180637
2020,6,163180652
2020,6,163185133
2020,8,163180677
2020,6,163180678
2020,6,163185155
2020,6,163185224
2020,9,163180754
2020,6,163180753
2020,6,163185309
2020,6,163185308
2020,6,163185492
2020,6,163181055
2020,1,163181114
2020,6,163073836
2020,6,163074103
2020,6,163074104
2020,6,163185328
2020,6,163185340
2020,6,163185503
2020,6,163180602
2020,6,163180610
2020,6,163180626
